calibration_record_id,corpus_id,decision,reason_code,organism_evidence,stressor_evidence,response_evidence,transferability_basis,citation_chain_basis,screening_source,confidence,needs_full_text,rationale,access,access_type,access_url,attempts,request_sha256,response_sha256
PEV-001,CWC-76DBA2881C9F,CORE_INCLUDE,,"Cold-water soft corals Duva florida and Primnoa resedaeformis, from cold-water coral ecosystems.","Anthropogenic sedimentation from mine tailings (MT) and smooth glass beads (GB) at 8 mg/L, 0-63 µm; explicitly contrasts sharp vs smooth particle shape.",Measured food intake by C-13/C-12 isotope ratios; behavioral contraction via time-lapse; polyp loss; histological particles embedded in tissue; species-specific responses.,,,TITLE_ABSTRACT,HIGH,False,"The abstract clearly describes a cold-water coral study (Duva florida and Primnoa resedaeformis) with an explicit sediment stressor: mine tailings vs smooth glass beads. Measured biological responses include food intake, behavior (contraction), tissue/polyp loss, and particle incorporation. This directly matches core inclusion criteria for deep-sea/cold-water coral trait responses to sediment exposure. No eligibility failure is present. The closest alternative would be CITATION_CHAIN_CANDIDATE, but that is unnecessary because the source itself reports in-scope response evidence.",YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://www.research.ed.ac.uk/en/publications/868d8144-5e3c-450f-8b6c-2eb0be9df80d,1,82a11b5bc55ad0c969c6d86a6c7d71f7517062607f0297038cfb8d47cb190e42,a05b462a2ef1556935dc4e9a1b61242a605c6466e514648f3cdff4e349a7c562
PEV-002,CWC-EB4D858B73AC,EXCLUDE,X08_OTHER_SCOPE_FAILURE,"Corals mentioned generally, but not specifically deep-sea/cold-water species; no organism-level biological response.",No sediment-related exposure; turbidity and light scattering are discussed only as image distortions for computer vision.,"No biological or trait response; only algorithmic detection performance metrics (precision, recall, mAP).",,,TITLE_ABSTRACT,HIGH,False,"This record is a computer vision methods paper on coral morphology detection in underwater imagery. It does not address deep-sea or cold-water corals, sediment exposure, or any observed/measured biological response. The mention of turbidity concerns image quality, not a sediment stressor or pathway. No eligible trait response is reported, and the source is not a credible citation-chain lead for sediment-related coral or sponge effects. Therefore it is excluded.",YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://doi.org/10.1038/s41598-026-42591-z,1,f29601425aca5ee033cb9a63e082f5ed9b99a2bf3633f5a063a4301a5cd25bb9,db94abdfd5604738945d9730c8426b491f7301b02a612fbe85ebae188f199b9a
PEV-003,CWC-D9FA66DE2FA6,EXCLUDE,X02_TROPICAL_NOT_CLOSELY_TRANSFERABLE,Tropical coral reefs in the South China Sea; no specific deep-sea or cold-water coral or sponge species reported.,Sedimentation from dredging activities and island building on reef flats.,General coral reef damage and likely influence on regional reef productivity; no organism-level trait or biological response measured.,,,TITLE_ABSTRACT,HIGH,False,"The abstract clearly describes tropical coral reef damage in the South China Sea caused by sedimentation from dredging and island building. It does not focus on deep-sea or cold-water corals or sponges, and the reported effects are at the ecosystem/reef level rather than an organism-level functional trait. The general coral-reef damage is explicitly listed as not sufficiently transferable. Therefore, this is not a core include, not a transferable mechanism, and not a citation-chain candidate because the source is not a deep-sea/cold-water coral or sponge source with a direct sediment focus. Exclusion with X02 is appropriate.",YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://doi.org/10.57043/transnastphl.2017.1067,1,a457a1940e6d672e06fb5d057d6f31e8de560e304f59c2e9af6a3893c60411f6,d4aa9ce4111b1d28ea735e9e99f79272c6579851cc1ac78dbc49bd5c7d56c33b
PEV-004,CWC-C69AD807E3BA,CORE_INCLUDE,,Cold-water coral Lophelia pertusa,Suspended benthic sediments (<63 μm) and water-based drill cuttings at concentrations ~5 and ~25 mg/L,Reduced skeletal growth at higher particle concentrations; decreased polyp extension; no significant impact on respiration or tissue/fatty acids; low mucus release; pilot evidence of larval vulnerability,,,TITLE_ABSTRACT,HIGH,False,"The abstract explicitly reports an experimental study on a cold-water coral (Lophelia pertusa) exposed to suspended benthic sediments and drill cuttings for 12 weeks. Measured responses include skeletal growth, polyp extension, respiration, tissue/fatty acid composition, mucus release, and larval vulnerability. This matches all CORE_INCLUDE criteria: relevant organism, explicit sediment/drill-cuttings exposure, and observed/measured biological responses. The study is substantive and directly on-topic. No other category is preferable; it is not merely a citation lead, not tropical, and not uncertain.",NO,NOT_CONFIRMED,,1,120d433a133e04f2fed7a1f73384159157fe24d42c622035b6d66dd9c471a9ae,7ba2cf253aa9f2df3821aacca64618bc63c1063c112e8d6567e88d8b020c8017
PEV-005,CWC-66237F4DDA16,CORE_INCLUDE,,"Deep-water sponge Geodia barretti (Demospongiae) from the Barents Sea, Norway.","Suspended sediments from bottom trawling, with experimental concentrations of 0, 10, 50, 100, and 500 mg l^-1.","Measured respiration rates before, during, and after exposure; 86% reduction in respiration at 100 mg l^-1, thresholds between 10 and 50 mg l^-1, and rapid recovery after exposure.",,,TITLE_ABSTRACT,HIGH,False,"The record explicitly concerns a deep-water sponge exposed to suspended sediments, and it measures a biological response (respiration) with clear exposure-response relationships and recovery. This meets all CORE_INCLUDE criteria: deep-sea/cold-water organism, explicit sediment pathway, observed physiological response, and substantive experimental source. No alternative category is needed.",NO,NOT_CONFIRMED,,1,69d5e83aaec91de4e4a2eec3244e01fc9f778190747d93c10375c9ff97c84edb,bb243e78548ff5ee2973e95091f31f250e78060f0694d955cf7207ce1ff37d60
PEV-006,CWC-6A83F026EEB4,TRANSFERABLE_MECHANISM,T01_CLOSE_TRAIT_ANALOGUE,Coral reef sponge Rhopaloeides odorabile (Porifera) from the Great Barrier Reef.,Experimental exposure to fine terrigenous clay and carbonate suspended sediments; sediment grain size and mineralogy characterized across shelf.,Metabolic demand (respiration) increased up to 40% in response to clay sediments.,"Sponge respiration is an organism-level physiological response directly comparable to deep-sea sponge respiratory costs under sediment stress; both are filter-feeding Porifera with sediment exposure affecting metabolism. This is a quantitative physiological response to suspended sediment, analogous to respiration or filtering responses in cold-water sponges.",,TITLE_ABSTRACT,HIGH,False,"The record is a warm-water (Great Barrier Reef) study, so it cannot be CORE_INCLUDE without a transferred mechanism. However, it directly measures a sponge's metabolic (respiration) response to controlled sediment exposure, which is specifically listed as a close organism-level functional analogue for deep-sea sponge sediment responses. The abstract provides explicit sediment grain size/mineralogy, exposure, and respiration outcome. This is preferable to EXCLUDE because the trait is quantitative and organism-level, not a broad community or water-quality effect. It is not a CITATION_CHAIN_CANDIDATE because it itself contains in-scope response evidence for transferable mechanism.",NO,NOT_CONFIRMED,,1,7ffd005ed52eca14f11c50432e136b00119f83c9e7069d17b2e0f59aa4d1f17c,f5dded83b20169ca2dc7008550e44d591187d041e0b186c3345a3894862321d8
PEV-007,CWC-908DE8E1A7FD,CITATION_CHAIN_CANDIDATE,C01_DEEP_COLD_CONTEXT_NO_RESPONSE,"Lophelia pertusa coral reefs in the Træna Deep, Norwegian Sea (deep-sea cold-water coral).",Hydrocarbon exploration drilling mud containing barite; elevated sediment supply and dispersion; barite crystals in sediments and trapped in coral polyps.,"No measured or explicitly assessed biological response; 'stress' and 'damage' are inferred and stated not significant. Barite in polyps is physical trapping, not an eligible trait response.",,Substantive deep-sea/cold-water coral study with a direct drilling-mud and sediment-dispersal focus at Lophelia reefs; its reference list is likely to include in-scope sediment-related biological response studies.,TITLE_ABSTRACT,HIGH,False,"The record reports a deep-sea cold-water coral (Lophelia) and an explicit drilling-mud/sediment exposure pathway. However, it does not present an observed or measured biological response; 'stress' and 'damage' are inferred, and barite crystals trapped in coral polyps represent physical trapping rather than a trait response. Therefore CORE_INCLUDE is not justified. It is a substantive source with a clear sediment/drilling focus in a cold-water coral setting, making its reference list a credible route to in-scope evidence. EXCLUDE would be inappropriate given this direct relevance, and UNCERTAIN is unnecessary because the abstract provides enough to classify it as a citation-chain lead.",NO,NOT_CONFIRMED,,1,f6df03a85d758a946fd5142d1ade3536915f8fad7dd8f06962c97d89468df7f9,089777bc5ea23d38076a9a3b3f5f01b325c6c0c872008aa71cf4a0e0f384685b
PEV-008,CWC-D97220223ADA,EXCLUDE,X02_TROPICAL_NOT_CLOSELY_TRANSFERABLE,"Corals at La Boquita reef, Mexican Pacific; tropical/subtropical reef community, not deep-sea or cold-water.","Terrestrial runoff, sedimentation, turbidity, nutrients, wastewater, and erosion; no explicit sediment-only pathway.",Community-level coral coverage loss (17%) and chronic stress indicators; no organism-level functional trait response measured.,,,TITLE_ABSTRACT,HIGH,False,"The abstract describes a tropical Mexican Pacific coral reef community under multiple stressors including runoff and sedimentation. There is no evidence of deep-sea or cold-water corals, and the response is a broad community coverage loss rather than a close functional analogue such as polyp retraction, mucus clearance, or sediment dose-response. Therefore, it does not qualify as CORE_INCLUDE or TRANSFERABLE_MECHANISM. It is also not a useful citation-chain lead because it lacks a deep-sea/cold-water and sediment-specific focus. EXCLUDE with X02 is most appropriate.",YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://revistas.ucr.ac.cr/index.php/rbt/article/download/21817/25856,1,80e4b70ad9435e9f55b99b152f64682c3ac1e74da9a64a5dd8855d2dd92bcd79,fd8526c442bbff4a95b58f1bc009dc66588f56a1a2cf7777d97637978ccfe4ab
PEV-009,CWC-1E8A06594C30,UNCERTAIN,U02_AMBIGUOUS_ORGANISM,"Sponges (10 species encompassing massive, erect, cup, and encrusting morphologies); species include Callyspongia confoederata; no explicit deep-sea or cold-water designation.","Dredging-related sedimentation; single pulse of three sediment concentrations (0, 250, 500 mg l-1); TSS and sedimentation rates recorded; smothering of sponge surface mentioned.",Mortality of cup-shaped Callyspongia confoederata; small areas of tissue necrosis in other species; no changes in sponge pigments or microbial community structure.,,,TITLE_ABSTRACT,LOW,True,"The supplied abstract clearly reports sediment-related sponge responses (mortality, tissue necrosis, lack of pigment/microbiome changes) and identifies a sediment exposure pathway. However, it does not state whether the sponges are deep-sea/cold-water or warm-water/tropical. CORE_INCLUDE requires deep-sea/cold-water organisms; TRANSFERABLE_MECHANISM requires a non-core warm-water or tropical study. Because neither condition can be confirmed from the available text, and no specific exclusion is demonstrated, the record is UNCERTAIN. Full-text or additional metadata is needed to determine the habitat/temperature context and species biogeographic range. Confidence is LOW due to missing information.",NO,NOT_CONFIRMED,,1,0a0facd411e5a412bdb37723210339b7bf9c7296f313f8cad32c703e282f1a7a,779e379d20f6649da85000d2ade60e3b8bdce68db4b3f107ec37dd3963c8f5aa
PEV-010,CWC-EB1347CE427C,EXCLUDE,X01_ORGANISM_OUT_OF_SCOPE,"Lower Tortonian scleractinian reef corals of Gavdos Island, southern Greece",No explicit sediment-related exposure or pathway is identified from the title alone; mention of sedimentological characteristics is not evidence of a sediment stressor or biological response.,No coral or sponge biological response to sediment is described in the available text.,,,TITLE_ONLY,MEDIUM,False,"The title describes palaeoecological and sedimentological characteristics of Lower Tortonian scleractinian reef corals from Gavdos Island, southern Greece. Tortonian reef corals are warm-water, shallow-water scleractinians, not deep-sea or cold-water corals or sponges. The record therefore fails the organism scope requirement. The mention of sedimentology is not an explicit sediment stressor or biological response, and no transferable functional analogue is indicated because fossil reef corals do not directly inform deep-sea or cold-water coral/sponge traits. There is no basis for citation-chain screening because this is not a deep-sea/cold-water sediment-focused source. EXCLUDE is preferred over UNCERTAIN because the title is sufficiently clear about the non-target organism type.",NO,NOT_CONFIRMED,,1,11c4c87c3006c70cdbb317fd239fdab859bf369f6c5269d79ecbae41969a0ddd,31acb730616d995929295cfbf6b6e457651af570638f44bf5c1d714626e58f01
