validation_record_id,corpus_id,selection_stratum,title,authors,year,source_title_or_issuer,document_type,doi,url,access,access_type,access_url,screening_text,model_category,model_reason_code,model_confidence,model_needs_full_text,model_rationale,model_organism_evidence,model_stressor_evidence,model_response_evidence,model_transferability_basis,model_citation_chain_basis,core_include_trusted,priority_human_review,review_basis,final_category,reviewer_note
V6V-001,CWC-0665FDF2B935,DEEPCOLD_CONTEXT_OR_CITATION,Mixed cold water coral community on Atlantic mid bathyal coarse sediment - JNCC Marine Habitat Classification,,,JNCC,repository_record,,https://mhc.jncc.gov.uk/biotopes/jnccmncr00002297,YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://mhc.jncc.gov.uk/biotopes/jnccmncr00002297,"# Description of biotope or habitat type. To understand more about what this page is describing, see How to use the classification. See also How to cite. ## Mixed cold water coral community on Atlantic mid bathyal coarse sediment. ### Physical habitat description. Download comparative physical and biological data. The comparative tables enable a rapid comparison of the species composition and principal physical characteristics between a given set of biotopes. * Records used to define the biotope (core records). * Other records assigned to this biotope, marked as 'certain'. * Other records assi",EXCLUDE,X05_RESPONSE_OUT_OF_SCOPE,HIGH,False,"The record is a habitat-classification entry describing a mixed cold-water coral community on coarse sediment. It does not report any sediment-related exposure (e.g., deposition, turbidity, burial) or biological response. Use of 'coarse sediment' refers to habitat substrate, not a stressor. Therefore CORE_INCLUDE is not supported. CITATION_CHAIN_CANDIDATE is also inappropriate because this is a descriptive classification page without a direct sediment-impact or monitoring focus that would justify reference mining. Thus EXCLUDE with X05_RESPONSE_OUT_OF_SCOPE is the correct decision.",Cold-water coral community (mixed) on Atlantic mid-bathyal coarse sediment.,"No explicit sediment-related exposure or pathway; 'coarse sediment' is described as a physical habitat, not a stressor.",No biological response reported; habitat classification only.,,,False,False,,,
V6V-002,CWC-F5FD6B84111D,WARM_TROPICAL_HARD_NEGATIVE,"Movement dynamics, sediment turnover and sheltering behaviours of the nocturnal coral reef sea cucumber, Stichopus cf. monotuberculatus",Benjamin C. T. Gray | Maria Byrne | Matthew Clements | Steven W. Purcell,2023,Coral Reefs,article,10.1007/s00338-023-02433-0,https://doi.org/10.1007/s00338-023-02433-0,YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://link.springer.com/content/pdf/10.1007/s00338-023-02433-0.pdf,"Abstract Animal movement and feeding studies shed light on ecological roles and can inform management strategies for fished species. However, the feeding and movement of nocturnal sea cucumbers have been rarely studied. We determined the movement dynamics, feeding ecology and sheltering behaviour of the nocturnal Stichopus cf. monotuberculatus (dragonfish) at One Tree Reef and Heron Island Reef on the southern Great Barrier Reef. The short-term movement of individual sea cucumbers were tracked, and sediment defecation rates were measured. Displacement rates averaged 3–33 cm h −1 across the four sites, with the sea cucumbers moving more slowly approaching sunrise and within patches of organically rich sediment. The movement paths were moderately tortuous, with larger sea cucumbers moving along straighter paths. Rates of sediment turnover averaged 7.8 g h −1 and were greatest for larger individuals. The faecal casts were organically richer and composed of finer grains than the ambient surface sediments, implying that S. cf. monotuberculatus avoids consuming coarse sediments and feeds on nutritionally rich particles. The sea cucumbers sheltered under hard reef substrata and moved non-directionally on the seascape, with a few individuals homing back to their original refuges. The affinity to reef substrata and short nightly net displacements of S. cf. monotuberculatus have implications for the spatial management of this and other similar species. Larger individuals occupied deeper refuges, implying that projected declines in substratum rugosity on coral reefs due to climate change could impact the size structure of sea cucumber populations, with implications for fisheries.",EXCLUDE,X01_ORGANISM_OUT_OF_SCOPE,HIGH,False,"The record concerns a nocturnal sea cucumber on tropical coral reefs, not a deep-sea or cold-water coral or sponge. The sediment-related measurements are about the sea cucumber's own feeding/sediment turnover, not an exposure or response in target taxa. Therefore it is outside scope and not a credible citation-chain lead for cold-water coral/sponge sediment impacts.","Study organism is the sea cucumber Stichopus cf. monotuberculatus, not a coral or sponge.","Abstract mentions sediment turnover and defecation rates, but this is sea cucumber sediment processing, not a sediment stressor for corals or sponges.",No coral or sponge biological response to sediment is described.,,,False,False,,,
V6V-003,CWC-E08D971221F6,WARM_TROPICAL_HARD_NEGATIVE,"Coral Tissue Thickness as a Bioindicator of Mine-Related Turbidity Stress on Coral Reefs at Lihir Island, Papua New Guinea","Rotmann, S | Thomas, S",2012,OCEANOGRAPHY,JOUR,,,NO,NOT_CONFIRMED,,"Work described here assessed the feasibility of using variations in tissue thickness in massive Porites corals as a bioindicator for mine-related sediment stress. We examined parameters influencing coral tissue thickness, including water depth, location, season, and time period within the lunar month. Coral tissue thickness was observed to grow linearly over the lunar cycle until it dropped abruptly by about 20% after the day of the full moon. Although some relationship was observed between tissue thickness reduction and turbidity, no systematic relationship was found between turbidity zones and light levels. The aim was to develop sampling protocols that minimized the effect of natural variability and maximized the potential use of tissue thickness by mine management as a cheap, reliable, real-time indicator of coral stress response to increased turbidity on Lihir Island, Papua New Guinea. This method could prove particularly useful at remote locations or where a fast assessment of coral stress response (< 1 month) needs to be made.",EXCLUDE,X02_TROPICAL_NOT_CLOSELY_TRANSFERABLE,HIGH,False,"The study explicitly focuses on tropical massive Porites corals in Papua New Guinea, a warm-water reef environment. The scope rules require that warm-water/tropical studies default to EXCLUDE unless they meet the exceptional TRANSFERABLE_MECHANISM criteria, which require cold/temperate non-tropical organisms and explicit close comparability to deep-sea/cold-water taxa. This abstract does not support such comparability; it is a tropical coral turbidity response study. There is no evidence that the mechanisms transfer to cold-water/deep-sea corals or sponges. Therefore, the appropriate decision is EXCLUDE with reason code X02_TROPICAL_NOT_CLOSELY_TRANSFERABLE.","Massive Porites corals from a tropical reef at Lihir Island, Papua New Guinea.",Mine-related turbidity and sediment stress.,"Coral tissue thickness variations, including a 20% drop after full moon and inconsistent relationship with turbidity zones.",,,False,False,,,
V6V-004,CWC-F4145597F5EA,DEEPCOLD_RESPONSE,"Impacts of barite and bentonite sedimentation on the behaviour, mucus production and cnidocytes of the deep-sea coral Flabellum (Ulocyathus) alabastrum",Kenneth A. Murray | Bárbara de Moura Neves | Jean-François Hamel | Johanne Vad | Vonda Hayes | Annie Mercier,2025,Deep Sea Research Part II Topical Studies in Oceanography,article,10.1016/j.dsr2.2025.105536,https://doi.org/10.1016/j.dsr2.2025.105536,YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,,"As oil and gas exploration expands in deep-sea environments, understanding the impacts of wastes produced by this industry is urgent. One of the main wastes of offshore drilling is the discharge of drill muds, commonly including barite and bentonite clay. Here, we investigated the effects of these two byproducts on the expansion behaviour, mucus secretion and cnidocyte density of the solitary cup coral Flabellum ( Ulocyathus ) alabastrum . A total of 96 live corals were exposed over 10 days to one of three treatments (barite, bentonite, or barite and bentonite combined) or assigned as an untreated control. Daily waste additions aimed to reach a total sedimentation depth of 6.3 mm (common ‘probable no-effects threshold’). Photography was used to monitor behavioural changes and mucus production, and histology was used to assess changes in tentacle cnidocytes. Overall, responses of F. alabastrum in the form of excessive polyp expansion (swelling) and mucus production were more severe under the barite and bentonite combined treatment, followed by barite alone, bentonite alone and lowest/absent in the control. Moreover, elevated nematocyte densities were measured under exposure to the mix of barite and bentonite. However, F. alabastrum returned to baseline metrics during a 10-day recovery period. The results suggest that sedimentation of common drill mud ingredients to <6.3 mm depth can cause observable and non-lethal responses in F. alabastrum , but remain conservative relative to what may be experienced in situ . As the most adverse effects were observed under the barite and bentonite combination treatment (tested together for the first time here), potential synergistic effects of the two should be considered in future research. Understanding long-term consequences, as well as impacts of more abrasive drilling waste (drill cuttings) on F. alabastrum requires further study.",CORE_INCLUDE,,HIGH,False,"The record directly concerns a deep-sea coral species, explicitly evaluates sedimentation from barite and bentonite (drill mud ingredients) as the stressor, and reports measured biological responses including behaviour, mucus production, and cnidocyte density, plus recovery. This meets all core criteria: organism is a deep-sea coral, exposure is sediment-related, and responses are observed/measured. No alternative category is needed.",Deep-sea solitary cup coral Flabellum (Ulocyathus) alabastrum,"Barite and bentonite sedimentation from drill mud additions over 10 days, targeting total sedimentation depth of 6.3 mm","Polyp expansion behaviour (swelling), mucus production, and cnidocyte/nematocyte density; recovery to baseline during a 10-day recovery period",,,True,False,,,
V6V-005,CWC-0283CF0F29D5,DEEPCOLD_RESPONSE,"Habitat utilization, demography, and behavioral observations of the squat lobster, Eumunida picta (Crustacea: Anomura: Eumunididae), on western North Atlantic deep-water coral habitats","Nizinski, MS | McClain-Counts, JP | Ross, SW",2023,DEEP-SEA RESEARCH PART I-OCEANOGRAPHIC RESEARCH PAPERS,JOUR,10.1016/j.dsr.2022.103953,https://doi.org/10.1016/j.dsr.2022.103953,NO,NOT_CONFIRMED,,"Deep-sea coral habitats, comprising mostly Lophelia pertusa (Linnaeus 1758), are well developed on the upper and middle continental slope off the southeastern United States (SEUS). These habitats support a diverse and abundant invertebrate fauna, yet ecology and biology of most of these species are poorly known. Ten cruises conducted off the SEUS (Summer-Fall; Cape Lookout, NC-Cape Canaveral, FL) from 2000 to 2005, and in 2009 provided an opportunity to investigate abundance and distribution of Eumunida picta Smith1883, a large-sized species of squat lobster commonly associated with these deep-water coral habitats. Video analysis from 70 manned-submersible dives documented occurrence, density, location on the coral colony, and behavioral ob-servations for 5774 individuals of E. picta. Individuals collected (n = 178) from coral and adjacent habitats (e.g., rubble, soft sediments) were measured and their sex determined. Males and females were comparable in size (to 53.5 mm carapace length) and exhibited a sex ratio of approximately 1:1. Eumunida picta were most frequently observed as solitary individuals on high-profile coral matrix and were noted only infrequently on coral rubble, or rarely on soft substratum. Presence of coral habitat (i.e., live/dead L. pertusa), geographic region within the sampling area, and depth significantly influenced abundances of E. picta. Additionally, coral habitat (dead versus live coral), vertical position on the coral (upper, middle, or lower zone), as well as horizontal position in relation to the coral matrix (outer surface versus embedded in coral matrix) were significant factors influencing E. picta distributions within the coral habitat. More individuals were found on dead versus live coral, and most frequently occurred on the outer surfaces of coral branches located on the upper portion or near the tops of coral colonies. Eumunida picta were most often observed with claws extended into the water column. This unique hunting stance provides this squat lobster the opportunity to capture prey from the water column. An active predator, this species utilizes both pelagic (i.e., fishes, pyrosomes) and benthic (e.g., scavenging and grazing) food resources, and may function as an important trophic link between the water column and the benthos. Although considered a facultative reef associate in the strictest sense of the term, E. picta has a complex and intimate relationship with L. pertusa. Based on observations from dive videos, E. picta is a dominant and ecologically important member of the invertebrate assemblage associated with deep-sea coral habitats off the SEUS. As such, this species figures prominently in the structure and function of this ecosystem.",EXCLUDE,X01_ORGANISM_OUT_OF_SCOPE,HIGH,False,"The record concerns a squat lobster associated with deep-water coral habitats, not the corals or sponges themselves. The study focuses on the lobster's demography, behavior, and habitat use. There is no sediment stressor or biological response of corals/sponges to sediment. This is an organism out of scope, not a citation-chain lead because it lacks a sediment focus. Warm-water analogues are irrelevant. Thus, EXCLUDE with X01_ORGANISM_OUT_OF_SCOPE is appropriate.","The study focuses on the squat lobster Eumunida picta, a crustacean, not on corals or sponges. Deep-sea coral habitats (Lophelia pertusa) are mentioned as habitat context, but the target organism of the study is the lobster.","No sediment-related stressor or pathway is mentioned. The study examines habitat use, demography, and behavior in coral habitats, with no sediment exposure, burial, turbidity, or similar.","No biological response of corals or sponges to sediment is measured or described. The responses reported are those of the squat lobster (abundance, distribution, behavior), which are out of scope.",,,False,True,Audit possible silent exclusion from the deep/cold response-enriched stratum.,,
V6V-006,CWC-E3614FFFA1EE,WARM_TROPICAL_HARD_NEGATIVE,"Growth rate and survival of hard coral Acropora sp. in turbid waters of the Spermonde Islands, South Sulawesi, Indonesia",Dedi Parenden | CHAIR RANI | Jamaluddin Jompa | Willem Renema | Jeremias R. Tuhumena,2024,Biodiversitas Journal of Biological Diversity,article,10.13057/biodiv/d250943,https://doi.org/10.13057/biodiv/d250943,YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,,"Abstract. Parenden D, Rani C, Jompa J, Renema W, Tuhumena JR. 2024. Growth rate and survival of hard coral Acropora sp. in turbid waters of the Spermonde Islands, South Sulawesi, Indonesia. Biodiversitas 25: 3208-3216. Coral reef recovery is often done by utilizing coral reproduction or coral transplantation. The aim of this study was to observe the rate of coral growth, coral survival in turbid waters, and its relationship to environmental parameters. The method used is spider webs with coral fragments. The results of hard coral restoration research of the genus Acropora in turbid waters using web spider transplantation media showed that the growth rate of Acropora donei Veron &amp; Wallace, 1984 and Acropora millepora (Ehrenberg, 1834) in length was faster than in width. In contrast, Acropora muricate Linnaeus, 1758 corals grew in height and width equally. The observation from the three research stations revealed the growth rate is better at station three than at other stations. Coral survival of A. donei ranged from 69-86%, A. muricata ranged from 71-77%, and A. millepora ranged from 75-83%. Environmental parameters that characterize station 1 are high nitrate and phosphate, and station 2 is temperature, power of hydrogen (pH), low salinity, and high total dissolved solid. Station 3 was characterized by low chlorophyll, conductivity, and dissolved oxygen parameters. The biplot graph revealed that it is suspected that turbidity and total suspended solid are parameters that characterize the three research stations. Based on the regression analysis results, it can be seen that the water turbidity parameter does not significantly affect coral growth with p&gt;0.05.",EXCLUDE,X02_TROPICAL_NOT_CLOSELY_TRANSFERABLE,HIGH,False,"The record reports growth and survival of tropical Acropora corals in Indonesian turbid waters. Although it includes a sediment-related exposure and biological responses, the organism is explicitly a warm-water tropical coral. The scope instructs that warm-water/tropical studies default to EXCLUDE and cannot qualify as transferable mechanisms based on trait or taxonomic similarity alone. No evidence suggests this is a cold/temperate or deep-sea coral study, and the environment is a tropical reef system. Therefore, it is excluded with X02_TROPICAL_NOT_CLOSELY_TRANSFERABLE.","Hard corals Acropora donei, A. millepora, A. muricata (Acropora sp.) in the Spermonde Islands, South Sulawesi, Indonesia; tropical reef corals.",Turbid waters; turbidity and total suspended solids measured as environmental parameters.,Measured growth rate and survival of coral fragments; regression analysis indicated turbidity did not significantly affect coral growth.,,,False,False,,,
V6V-007,CWC-28BEEE0E5914,DEEPCOLD_RESPONSE,Effects of water flow and drilling waste exposure on polyp behaviour in<i>Lophelia pertusa</i>,Pål Buhl‐Mortensen | Eirik Tenningen | Anne Britt Skar Tysseland,2015,Marine Biology Research,article,10.1080/17451000.2014.993651,https://doi.org/10.1080/17451000.2014.993651,NO,NOT_CONFIRMED,,"Polyp expansion state in Lophelia pertusa was studied in situ close to an oil rig during the drilling of a well (Statoil) off mid-Norway, in order to study possible effects on behaviour. The expansion state was monitored visually during the discharge of drill cuttings at one reef exposed to discharges and one not exposed. The reef situated down-current from the discharge point was monitored during 5 days and 15 h with a benthic lander equipped with a stills camera and current meter. This reef was exposed to drill cuttings 11 times during the monitoring. The total exposure time was 13 h 37 min. A remotely operated vehicle was used to provide additional images from both reefs for comparison. The proportion of polyps in different expansion states did not differ significantly between exposed corals and unexposed corals. Rather, changes in polyp behaviour were related to changes in current direction and velocity. A higher proportion of the polyps was expanded during periods with prevailing northeasterly currents compared to northwesterly. This could be related to quantity and type of food particles or the polyps' local position in the colony relative to current direction. There was also a clear difference in the degree of polyp expansion between polyps situated high up in the colony compared to low. This may be related to local environmental differences representing different hydrodynamic conditions. Whether or not there are effects of exposure to drill cuttings over a longer timescale than the observed 5 days and 15 h cannot be concluded from this study.",CORE_INCLUDE,,HIGH,False,"The record explicitly concerns a deep-sea/cold-water coral (Lophelia pertusa) exposed to drill cuttings (sediment-related stressor) and reports measured polyp behavior/expansion state, an eligible biological response. The in situ monitoring design directly evaluates exposure-response relationships, even though the result was largely non-significant for exposure. Thus all core criteria are met: organism in scope, explicit sediment pathway, and trait/response assessed. No transferability reasoning is needed. The closest alternative would be citation-chain candidate if no response were reported, but here a behavioral response is clearly measured.","Cold-water scleractinian coral Lophelia pertusa, studied in situ on a reef off mid-Norway.",Exposure to drill cuttings discharged during drilling of a well; reef was down-current from discharge and exposed 11 times over 5 days 15 h (total 13 h 37 min).,"Polyp expansion state measured visually; no significant difference between exposed and unexposed corals, but behavior varied with current direction/velocity and position in colony; noted limited temporal scope.",,,True,False,,,
V6V-008,CWC-04A4E2BAECDE,WARM_TROPICAL_HARD_NEGATIVE,Fine-Scale Foraging and Movement Behaviour of Chaetodon Butterflyfish Along a Turbidity Gradient on a Coral Reef in the Solomon Islands,E. N. Steele,2024,Tuwhera (Auckland University of Technology),dissertation,,http://hdl.handle.net/10292/17620,NO,NOT_CONFIRMED,,"Coral reefs stand as the pinnacle of ecological biodiversity, playing a vital role in supporting a diverse array of organisms. But they are under threat. Anthropogenic influence impacts how coral reefs, and the animals and people they support, function. Conventional methods of assessing coral reef health typically rely on species abundance and biomass estimates, potentially overlooking subtle changes occurring early in the degradation process. This study explores the concept that fine-scale alterations in the movement patterns and foraging behaviour of coral reef fish can serve as indicators of coral reef degradation. Employing stereo-video methodology, footage of coral reef fish behaviour was captured along a turbidity gradient at Vavanga Reef on Kolombangara Island, Solomon Islands. Vavanga Reef receives sedimentation from Vavanga River, creating a turbidity gradient that is exacerbated by historic logging practices. Analysis of foraging substrates, bite rates, bite distances, and three-dimensional tracking data of three species of Chaetodon butterflyfish species revealed insights into their foraging and movement behaviour. The hard-coral specialist foragers, C. baronessa and C. lunulatus, showed significant trends across the turbidity gradient, whereas C. vagabundus, the generalist omnivore, did not. C. baronessa displayed a clear preference for Acropora, with high total bite percentages and preference ratios that depended on substrate availability and turbidity. C. lunulatus consistently preferred Porites across the turbidity gradient; however, this was not seemingly impacted by substrate availability or turbidity, and their foraging substrate choice appeared random. The body mass and length of C. baronessa and C. lunulatus decreased with increasing turbidity, suggesting that turbidity and coral availability influence fish physiology and growth or that these species are distributed along the turbidity gradient according to age. Further investigation of the physiological condition of the species would provide a more definitive answer. The velocity of C. baronessa and C. lunulatus increased with turbidity, indicating adjustments in swimming behaviour to compensate for reduced visibility or prey availability. Furthermore, increased overall dynamic body acceleration values in C. baronessa at sites with lower live coral cover suggest elevated energy expenditure associated with foraging efforts in less favourable conditions. These results may indicate an adaptive response of C. baronessa to changing reef conditions. The discoveries resulting from this research emphasise the importance of identifying nuanced changes in coral reef fish behaviour to understand and address the ongoing degradation of coral reef ecosystems. This research is crucial in the face of escalating pressures that threaten coral reefs and the communities they support.",EXCLUDE,X01_ORGANISM_OUT_OF_SCOPE,HIGH,False,"The record concerns butterflyfish behaviour along a turbidity gradient, not corals or sponges. The organism is a fish, and the response is fish behaviour, so it fails the organism scope. There is no evidence of a deep-sea or cold-water coral/sponge sediment-related response, and no basis for transferable mechanism or citation-chain candidacy.","Chaetodon butterflyfish (coral reef fish), not a coral or sponge.",Turbidity gradient from river sedimentation on a tropical coral reef.,"Foraging and movement behaviour of fish, not a coral or sponge response.",,,False,False,,,
V6V-009,CWC-3143828C5285,DEEPCOLD_RESPONSE,Mechanical and toxicological effects of deep-sea mining sediment plumes on a habitat-forming cold-water octocoral,Marina Carreiro‐Silva | Inês Martins | Virginie Riou | Joana Raimundo | Miguel Caetano | Raúl Bettencourt | Maria Rakka | Teresa Cerqueira | António Godinho | Telmo Morato | Ana Colaço,2022,Frontiers in Marine Science,article,10.3389/fmars.2022.915650,https://doi.org/10.3389/fmars.2022.915650,YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,,"Deep-sea mining activities are expected to impact deep-sea biota through the generation of sediment plumes that disperse across vast areas of the ocean. Benthic sessile suspension-feeding fauna, such as cold-water corals, may be particularly susceptible to increased suspended sediments. Here, we exposed the cold-water octocoral, Dentomuricea aff. meteor to suspended particles generated during potential mining activities in a four weeks experimental study. Corals were exposed to three experimental treatments: (1) control conditions (no added sediments); (2) suspended polymetallic sulphide (PMS) particles; (3) suspended quartz particles. The two particle treatments were designed to distinguish between potential mechanical and toxicological effects of mining particles. PMS particles were obtained by grinding PMS inactive chimney rocks collected at the hydrothermal vent field Lucky Strike. Both particle types were delivered at a concentration of 25 mg L -1 , but achieved suspended concentrations were 2-3 mg L -1 for the PMS and 15-18 mg L -1 for the quartz particles due to the different particle density. Results of the experiment revealed a significant increase in dissolved cobalt, copper and manganese concentrations in the PMS treatment, resulting from the oxidation of sulphides in contact with seawater. Negative effects of PMS exposure included a progressive loss in tissue condition with necrosis and bioaccumulation of copper in coral tissues and skeletons, and death of all coral fragments by the end of the experiment. Physiological changes under PMS exposure, included increased respiration and ammonia excretion rates in corals after 13 days of exposure, indicating physiological stress and potential metabolic exhaustion. Changes in the cellular stress biomarkers and gene expression profiles were more pronounced in corals exposed to quartz particles, suggesting that the mechanical effect of particles although not causing measurable changes in the physiological functions of the coral, can still be detrimental to corals by eliciting cellular stress and immune responses. We hypothesize that the high mortality of corals recorded in the PMS treatment may have resulted from the combined and potentially synergistic mechanical and toxicological effects of the PMS particles. Given the dispersal potential of mining plumes and the highly sensitive nature of octocorals, marine protected areas, buffer areas or non-mining areas may be necessary to protect deep-sea coral communities.",CORE_INCLUDE,,HIGH,False,"The abstract explicitly reports a deep-sea cold-water octocoral exposed to sediment plumes from mining activities. Measured responses include tissue condition, necrosis, copper bioaccumulation, mortality, respiration, ammonia excretion, and molecular stress responses. This directly matches core criteria (deep-sea/cold-water organism, explicit sediment exposure, measured biological responses). No alternative category is needed because the source is clearly in-scope and substantive. Confidence is high based on the detailed experimental evidence in the abstract.",Cold-water octocoral Dentomuricea aff. meteor,"Suspended polymetallic sulphide (PMS) and quartz particles simulating deep-sea mining sediment plumes, at 25 mg/L nominal (achieved 2-3 mg/L PMS and 15-18 mg/L quartz)","Tissue necrosis, copper bioaccumulation, mortality of all fragments, increased respiration and ammonia excretion, cellular stress biomarkers and gene expression changes; mechanical particle effects elicited cellular stress/immune responses",,,True,False,,,
V6V-010,CWC-052940936060,DEEPCOLD_CONTEXT_OR_CITATION,Biodiversity and community composition of sediment macrofauna associated with deep-sea Lophelia pertusa habitats in the Gulf of Mexico,Amanda W.J. Demopoulos | Jill R. Bourque | Janessy Frometa,2014,Deep Sea Research Part I Oceanographic Research Papers,article,10.1016/j.dsr.2014.07.014,https://doi.org/10.1016/j.dsr.2014.07.014,NO,NOT_CONFIRMED,,"Scleractinian corals create three-dimensional reefs that provide sheltered refuges, facilitate sediment accumulation, and enhance colonization of encrusting fauna. While heterogeneous coral habitats can harbor high levels of biodiversity, their effect on the community composition within nearby sediments remains unclear, particularly in the deep sea. Sediment macrofauna from deep-sea coral habitats (Lophelia pertusa) and non-coral, background sediments were examined at three sites in the northern Gulf of Mexico (VK826, VK906, MC751, 350-500 m depth) to determine whether macrofaunal abundance, diversity, and community composition near corals differed from background soft-sediments. Macrofaunal densities ranged from 26 to 125 individuals 32 cm(-2) and were significantly greater near coral versus background sediments only at VK826. Of the 86 benthic invertebrate taxa identified, 16 were exclusive to near-coral habitats, while 14 were found only in background sediments. Diversity (Fisher's a) and evenness were significantly higher within near-coral sediments only at MC751 while taxon richness was similar among all habitats. Community composition was significantly different both between near-coral and background sediments and among the three primary sites. Polychaetes numerically dominated all samples, accounting for up to 70% of the total individuals near coral, whereas peracarid crustaceans were proportionally more abundant in background sediments (18%) than in those near coral (10%). The reef effect differed among sites, with community patterns potentially influenced by the size of reef habitat. Taxon turnover occurred with distance from the reef, suggesting that reef extent may represent an important factor in structuring sediment communities near L pertusa. Polychaete communities in both habitats differed from other Gulf of Mexico (GOM) soft sediments based on data from previous studies, and we hypothesize that local environmental conditions found near L pertusa may influence the macrofaunal community structure beyond the edges of the reef. This study represents the first assessment of L pertusa-associated sediment communities in the GOM and provides baseline data that can help define the role of transition zones, from deep reefs to soft sediments, in shaping macrofaunal community structure and maintaining biodiversity; this information can help guide future conservation and management activities. Published by Elsevier Ltd.",CITATION_CHAIN_CANDIDATE,C01_DEEP_COLD_CONTEXT_NO_RESPONSE,HIGH,False,"The abstract clearly describes a deep-sea Lophelia pertusa habitat study examining sediment macrofaunal community composition near coral versus background sediments. No coral or sponge response to sediment exposure is reported; the responses are for macrofauna, which is outside scope. The source is substantive and has a direct sediment focus, making it a credible citation-chain lead for finding in-scope sediment response evidence in deep-sea coral habitats. Therefore CITATION_CHAIN_CANDIDATE with C01_DEEP_COLD_CONTEXT_NO_RESPONSE is appropriate.","Deep-sea scleractinian coral Lophelia pertusa habitats in the Gulf of Mexico; study focuses on sediment macrofauna, not corals/sponges as response organisms.","No explicit sediment stressor on corals/sponges; sediment is examined as habitat for macrofauna, with coral presence facilitating sediment accumulation but no exposure pathway to corals evaluated.","No eligible coral or sponge biological response; reported responses are macrofaunal abundance, diversity, and community composition in sediments near vs. background.",,"Substantive deep-sea Lophelia pertusa habitat study with direct sediment focus (sediment macrofauna, sediment accumulation near corals); likely to cite literature on coral-sediment interactions that could lead to in-scope sediment response studies.",False,True,Confirm that reference mining is specifically justified.,,
