validation_record_id,corpus_id,title,doi,url,final_category,core_include_trusted,review_required,reason_code,confidence,needs_full_text,rationale,organism_evidence,stressor_evidence,response_evidence,transferability_basis,citation_chain_basis,access,access_type,access_url
PEV-006,CWC-6A83F026EEB4,Suspended sediment grain size and mineralogy across the continental shelf of the Great Barrier Reef: Impacts on the physiology of a coral reef sponge,10.1016/j.csr.2011.10.018,https://doi.org/10.1016/j.csr.2011.10.018,TRANSFERABLE_MECHANISM,False,True,T01_CLOSE_TRAIT_ANALOGUE,HIGH,False,"The record is a warm-water (Great Barrier Reef) study, so it cannot be CORE_INCLUDE without a transferred mechanism. However, it directly measures a sponge's metabolic (respiration) response to controlled sediment exposure, which is specifically listed as a close organism-level functional analogue for deep-sea sponge sediment responses. The abstract provides explicit sediment grain size/mineralogy, exposure, and respiration outcome. This is preferable to EXCLUDE because the trait is quantitative and organism-level, not a broad community or water-quality effect. It is not a CITATION_CHAIN_CANDIDATE because it itself contains in-scope response evidence for transferable mechanism.",Coral reef sponge Rhopaloeides odorabile (Porifera) from the Great Barrier Reef.,Experimental exposure to fine terrigenous clay and carbonate suspended sediments; sediment grain size and mineralogy characterized across shelf.,Metabolic demand (respiration) increased up to 40% in response to clay sediments.,"Sponge respiration is an organism-level physiological response directly comparable to deep-sea sponge respiratory costs under sediment stress; both are filter-feeding Porifera with sediment exposure affecting metabolism. This is a quantitative physiological response to suspended sediment, analogous to respiration or filtering responses in cold-water sponges.",,NO,NOT_CONFIRMED,
PEV-007,CWC-908DE8E1A7FD,"Barite and barium in sediments and coral skeletons around the hydrocarbon exploration drilling site in the Træna Deep, Norwegian Sea",10.1007/s00254-007-1145-4,https://doi.org/10.1007/s00254-007-1145-4,CITATION_CHAIN_CANDIDATE,False,True,C01_DEEP_COLD_CONTEXT_NO_RESPONSE,HIGH,False,"The record reports a deep-sea cold-water coral (Lophelia) and an explicit drilling-mud/sediment exposure pathway. However, it does not present an observed or measured biological response; 'stress' and 'damage' are inferred, and barite crystals trapped in coral polyps represent physical trapping rather than a trait response. Therefore CORE_INCLUDE is not justified. It is a substantive source with a clear sediment/drilling focus in a cold-water coral setting, making its reference list a credible route to in-scope evidence. EXCLUDE would be inappropriate given this direct relevance, and UNCERTAIN is unnecessary because the abstract provides enough to classify it as a citation-chain lead.","Lophelia pertusa coral reefs in the Træna Deep, Norwegian Sea (deep-sea cold-water coral).",Hydrocarbon exploration drilling mud containing barite; elevated sediment supply and dispersion; barite crystals in sediments and trapped in coral polyps.,"No measured or explicitly assessed biological response; 'stress' and 'damage' are inferred and stated not significant. Barite in polyps is physical trapping, not an eligible trait response.",,Substantive deep-sea/cold-water coral study with a direct drilling-mud and sediment-dispersal focus at Lophelia reefs; its reference list is likely to include in-scope sediment-related biological response studies.,NO,NOT_CONFIRMED,
PEV-009,CWC-1E8A06594C30,Appearance matters: sedimentation effects on different sponge morphologies,10.1017/s0025315414001787,https://doi.org/10.1017/s0025315414001787,UNCERTAIN,False,True,U02_AMBIGUOUS_ORGANISM,LOW,True,"The supplied abstract clearly reports sediment-related sponge responses (mortality, tissue necrosis, lack of pigment/microbiome changes) and identifies a sediment exposure pathway. However, it does not state whether the sponges are deep-sea/cold-water or warm-water/tropical. CORE_INCLUDE requires deep-sea/cold-water organisms; TRANSFERABLE_MECHANISM requires a non-core warm-water or tropical study. Because neither condition can be confirmed from the available text, and no specific exclusion is demonstrated, the record is UNCERTAIN. Full-text or additional metadata is needed to determine the habitat/temperature context and species biogeographic range. Confidence is LOW due to missing information.","Sponges (10 species encompassing massive, erect, cup, and encrusting morphologies); species include Callyspongia confoederata; no explicit deep-sea or cold-water designation.","Dredging-related sedimentation; single pulse of three sediment concentrations (0, 250, 500 mg l-1); TSS and sedimentation rates recorded; smothering of sponge surface mentioned.",Mortality of cup-shaped Callyspongia confoederata; small areas of tissue necrosis in other species; no changes in sponge pigments or microbial community structure.,,,NO,NOT_CONFIRMED,
PEV-017,CWC-9434EFF6C889,Effects of an Offshore Drilling Mud on Selected Corals: ABSTRACT,10.1306/2f918068-16ce-11d7-8645000102c1865d,https://doi.org/10.1306/2f918068-16ce-11d7-8645000102c1865d,TRANSFERABLE_MECHANISM,False,True,T01_CLOSE_TRAIT_ANALOGUE,HIGH,False,"The study clearly uses tropical reef corals, so it is not core for a deep-sea/cold-water review. However, it experimentally quantifies coral polyp retraction in response to drilling-mud concentrations, which is explicitly listed as a transferable functional analogue. The stressor is a drilling-mud/particulate pathway, and the response is organism-level behavioral and mortality data. This is not a mere coral-reef damage or distributional association; it is a direct dose-response of a conserved coral trait. Therefore, TRANSFERABLE_MECHANISM is preferred over EXCLUDE or CITATION_CHAIN_CANDIDATE.","Tropical Caribbean reef corals (Dichocoenia stokesii, Montastrea annularis, Agaricia agaricites, Acropora cervicornis, Porites furcata, P. astreodes, P. divercata).","Drilling mud obtained from an offshore Gulf of Mexico oil well, diluted to 100, 316, and 1000 µL/L; experimental exposure for 96 hours.",Measured percent of polyps retracted at each concentration; species-specific differences and mortality in some species at the highest concentration.,Coral polyp retraction is a close organism-level functional analogue to sediment/drilling-mud avoidance and clearance behaviors in deep-sea and cold-water corals. The quantitative exposure–response relationship (polyp retraction) directly parallels traits relevant to deep-sea coral sediment stress.,,YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://doi.org/10.1306/2f918068-16ce-11d7-8645000102c1865d
PEV-019,CWC-2CE5EB8EAB8A,Effects of drilling mud on the reef-building coral Montastrea annularis,10.1007/bf00394622,https://doi.org/10.1007/bf00394622,TRANSFERABLE_MECHANISM,False,True,T01_CLOSE_TRAIT_ANALOGUE,HIGH,False,"The record reports an empirical study on a warm-water reef-building coral exposed to drilling mud, with measured growth and morphological responses. Because the organism is not deep-sea/cold-water, CORE_INCLUDE is not appropriate. However, the study directly measures a close functional analogue—coral skeletal growth suppression and sediment rejection capability under particulate/drilling-mud exposure—making it eligible as TRANSFERABLE_MECHANISM under rule T01_CLOSE_TRAIT_ANALOGUE. It is not merely a general reef-damage or community study; it is a controlled laboratory dose-response. The abstract supplies sufficient detail to categorize without full text.",Tropical/warm-water Caribbean and Atlantic reef-building coral Montastrea annularis; not a deep-sea or cold-water coral.,"Continuous flow-through exposure to drilling mud at 0, 1, 10, and 100 ppm for over 6 weeks.",Skeletal extension rate and fossa length were significantly depressed at 100 ppm; possible impairment of sediment rejection capability through lowered calical relief.,"Provides a quantitative organism-level sediment dose-response in coral growth and a functional link to sediment rejection, directly analogous to sediment/drilling-mud effects on deep-sea cold-water corals.",,NO,NOT_CONFIRMED,
PEV-022,CWC-D81C3AA50091,Sedimentology of the coral reef ecosystem in and around the barrier islands of Chidabaranar district Tamilnadu,,https://shodhganga.inflibnet.ac.in/handle/10603/63826,UNCERTAIN,False,True,U01_MISSING_ABSTRACT,LOW,True,"Only the title is available. It describes sedimentology of a coral reef ecosystem in Tamilnadu, likely tropical and outside core scope. Without an abstract, I cannot determine whether it reports a close trait analogue (e.g., coral/sediment responses) or is merely geological. Thus the available text is insufficient to distinguish among transferable, citation-chain, or exclude categories. Closest alternative: EXCLUDE due to tropical and non-response, but that would require inferring absence from the title alone. Since there is no abstract and no full text, uncertainty is appropriate.",Title indicates coral reef ecosystem in barrier islands off Tamilnadu; no abstract to confirm coral or sponge taxa or depth.,Title mentions sedimentology; no explicit sediment-pathway detail in abstract.,No biological response reported in title; no abstract available.,,,NO,NOT_CONFIRMED,
PEV-023,CWC-620A6B01FCC6,Evidence for morphology-induced sediment settlement prevention on the tubular sponge Haliclona urceolus,10.1007/s00227-004-1429-0,https://doi.org/10.1007/s00227-004-1429-0,UNCERTAIN,False,True,U01_MISSING_ABSTRACT,LOW,True,"The title clearly identifies a sponge and a sediment-related interaction, but it does not establish whether Haliclona urceolus is deep-sea or cold-water, nor whether the study measures an eligible biological response or merely describes a morphological trait. Without an abstract, I cannot distinguish CORE_INCLUDE from CITATION_CHAIN_CANDIDATE or EXCLUDE. Therefore UNCERTAIN is appropriate; full text is needed.",The record concerns the sponge Haliclona urceolus; depth or thermal regime unspecified in title.,Sediment settlement is indicated as a stressor or exposure in the title ('sediment settlement prevention').,"The title suggests a morphological trait that prevents sediment settlement, but no measured biological response (e.g., clearance, survival) is stated.",,,NO,NOT_CONFIRMED,
PEV-024,CWC-A6EF6A20E7D6,Habitat‐specific biogenic production and erosion influences net framework and sediment coral reef carbonate budgets,10.1002/lno.11609,https://doi.org/10.1002/lno.11609,UNCERTAIN,False,True,U01_MISSING_ABSTRACT,LOW,True,"Title-only screening. The record concerns coral reef carbonate budgets, with sediment as a budget component rather than an explicit stressor. No deep-sea or cold-water context is provided, and no coral/sponge biological response to sediment is described. Because the abstract is missing and we cannot infer tropical vs cold-water status or whether organism-level responses are reported, the decision is UNCERTAIN. It may be an ecosystem-scale carbon budget study (likely out of scope) or could contain transferable or citation-chain-relevant content, but the supplied text is insufficient. Full text is needed.","Coral reef organisms are mentioned in the title, but no deep-sea or cold-water context is provided.","Sediment is mentioned in relation to carbonate budgets, not as an explicit sediment exposure or pathway.",No explicit biological response to sediment is described in the title.,,,YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://doi.org/10.1002/lno.11609
PEV-029,CWC-EDD1DC139DFA,Coastal seawater turbidity and thermal stress control growth of reef-building Porites spp. corals in Fiji,10.1038/s41598-025-02283-6,https://doi.org/10.1038/s41598-025-02283-6,TRANSFERABLE_MECHANISM,False,True,T01_CLOSE_TRAIT_ANALOGUE,HIGH,False,"The study is a warm-water tropical coral study, not deep-sea or cold-water, so it is not CORE_INCLUDE. However, it directly measures a quantitative organism-level growth response (linear extension) in corals as a function of seawater turbidity, which is a sediment-related stressor. This is a close functional analogue to growth responses expected in deep-sea or cold-water corals under sediment stress, satisfying the TRANSFERABLE_MECHANISM criteria. The abstract clearly provides organism, stressor, and response evidence, making the decision straightforward and not uncertain. It is not merely a general reef damage or broad water-quality effect; it is a specific growth dose-response.",Massive Porites spp. corals from nearshore reefs in Fiji (tropical reef-building corals).,Coastal seawater turbidity (sediment-related) and thermal stress.,Negative linear relationship between linear extension (growth) and turbidity; 14-30% decrease in linear extension in response to acute thermal stress.,"Quantitative organism-level growth response to a sediment-related turbidity gradient, directly analogous to potential turbidity/growth effects in deep-sea and cold-water corals.",,YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://www.nature.com/articles/s41598-025-02283-6.pdf
PEV-030,CWC-9BFC61A48726,Monitoring strategies for drill cutting discharge in the vicinity of cold-water coral ecosystems,10.1016/j.marpolbul.2012.08.003,https://doi.org/10.1016/j.marpolbul.2012.08.003,CITATION_CHAIN_CANDIDATE,False,True,C02_REVIEW_OR_MONITORING_LEAD,HIGH,True,"The record is a substantive deep-sea cold-water coral source focused on drill cutting discharge and monitoring. It does not report an eligible biological response; it discusses strategies and highlights research questions. Thus it is not CORE_INCLUDE. As a monitoring-focused paper with direct sediment/drilling relevance, its reference list is likely to contain in-scope response studies, making it a CITATION_CHAIN_CANDIDATE. The closest alternative, CORE_INCLUDE, is inappropriate because no response is described. EXCLUDE is inappropriate because the source is directly relevant. Confidence is HIGH because the abstract clearly indicates a deep/cold sediment-focused monitoring viewpoint without an observed response.","Cold-water coral; specifically Lophelia pertusa, a key reef species on the Norwegian margin.",Drill cutting discharge from offshore drilling operations; waste materials produced during drilling.,None reported in the abstract; mentions recent in situ and experimental research with Lophelia pertusa but does not describe specific biological outcomes.,,"Substantive viewpoint paper on monitoring strategies for drill cutting discharge near cold-water coral reefs; direct focus on sediment/drilling impacts; likely cites experimental and in situ studies documenting coral responses, useful for backward/forward citation mining.",NO,NOT_CONFIRMED,
