calibration_record_id,corpus_id,title,previous_human_decision,model_decision,final_human_decision,category_changed,reviewer_note,review_date,source_file
CAL-0002,CWC-E507A2C5CF60,"Cytoskeletal architecture, organelle transport, and impulse conduction in hexactinellid sponge syncytia",EXCLUDE,TRANSFERABLE_MECHANISM,EXCLUDE,False,No sediment-related stressor,2026-08-17,01-development_priority_adjudication.csv
CAL-0011,CWC-EF558A39F017,Effects of suspended sediment on aquatic organisms : a literature review and database effort,EXCLUDE,CORE_INCLUDE,EXCLUDE,False,database,2026-08-17,01-development_priority_adjudication.csv
CAL-0070,CWC-EF0CBC2EDD39,Add-on studies to the current NFR Project “Impact of water- based drilling mud: a study using the epibenthic coral species Lophelia pertusa,CORE_INCLUDE,UNCERTAIN,CORE_INCLUDE,False,direct impacts,2026-08-17,01-development_priority_adjudication.csv
CAL-0126,CWC-D853A48EC603,Function of funnel-shaped coral growth in a high-sedimentation environment,TRANSFERABLE_MECHANISM,CORE_INCLUDE,TRANSFERABLE_MECHANISM,False,,2026-08-17,01-development_priority_adjudication.csv
CAL-0131,CWC-775336C20A96,Photo-physiological costs associated with acute sediment stress events in three near-shore turbid water corals,EXCLUDE,TRANSFERABLE_MECHANISM,EXCLUDE,False,tropical,2026-08-17,01-development_priority_adjudication.csv
CAL-0155,CWC-6A794C242F17,"Patterns of glass sponge (Porifera, Hexactinellida) distribution in coastal waters of British Columbia, Canada",EXCLUDE,CORE_INCLUDE,EXCLUDE,False,observational,2026-08-17,01-development_priority_adjudication.csv
CAL-0185,CWC-865693F0AEA7,"El Arrecife Coralino del Parque Nacional Cahuita, Costa Rica",EXCLUDE,TRANSFERABLE_MECHANISM,EXCLUDE,False,tropical,2026-08-17,01-development_priority_adjudication.csv
CAL-0243,CWC-2B5110CD6CD1,"Effects of dissolved nickel and nickel-contaminated suspended sediment on the scleractinian coral, Acropora muricata - R Discovery",TRANSFERABLE_MECHANISM,UNCERTAIN,TRANSFERABLE_MECHANISM,False,transfer,2026-08-17,01-development_priority_adjudication.csv
CAL-0247,CWC-72F31EF52385,Marine demosponge responses to a changing ocean; effects of sedimentation and temperature increases on Tethya burtoni metabolism,UNCERTAIN,CORE_INCLUDE,CORE_INCLUDE,True,,2026-08-17,01-development_priority_adjudication.csv
CAL-0312,CWC-C4365A4E8045,Environmental Monitoring Of Three Exploratory Oil And Gas Wells Drilled Near The East Flower Garden Bank In The Gulf Of Mexico,UNCERTAIN,CORE_INCLUDE,CORE_INCLUDE,True,,2026-08-17,01-development_priority_adjudication.csv
CAL-0373,CWC-D1013144B25D,SEDIMENTATION ON LOW ISLES REEF AND ITS RELATION TO CORAL GROWTH,UNCERTAIN,EXCLUDE,EXCLUDE,True,tropical,2026-08-17,01-development_priority_adjudication.csv
