validation_record_id,corpus_id,selection_stratum,title,model_category,model_reason_code,model_confidence,review_basis,final_category,reviewer_note,model_rationale,screening_text,access,access_type,access_url,document_type,doi,url
V6V-005,CWC-0283CF0F29D5,DEEPCOLD_RESPONSE,"Habitat utilization, demography, and behavioral observations of the squat lobster, Eumunida picta (Crustacea: Anomura: Eumunididae), on western North Atlantic deep-water coral habitats",EXCLUDE,X01_ORGANISM_OUT_OF_SCOPE,HIGH,Audit possible silent exclusion from the deep/cold response-enriched stratum.,,,"The record concerns a squat lobster associated with deep-water coral habitats, not the corals or sponges themselves. The study focuses on the lobster's demography, behavior, and habitat use. There is no sediment stressor or biological response of corals/sponges to sediment. This is an organism out of scope, not a citation-chain lead because it lacks a sediment focus. Warm-water analogues are irrelevant. Thus, EXCLUDE with X01_ORGANISM_OUT_OF_SCOPE is appropriate.","Deep-sea coral habitats, comprising mostly Lophelia pertusa (Linnaeus 1758), are well developed on the upper and middle continental slope off the southeastern United States (SEUS). These habitats support a diverse and abundant invertebrate fauna, yet ecology and biology of most of these species are poorly known. Ten cruises conducted off the SEUS (Summer-Fall; Cape Lookout, NC-Cape Canaveral, FL) from 2000 to 2005, and in 2009 provided an opportunity to investigate abundance and distribution of Eumunida picta Smith1883, a large-sized species of squat lobster commonly associated with these deep-water coral habitats. Video analysis from 70 manned-submersible dives documented occurrence, density, location on the coral colony, and behavioral ob-servations for 5774 individuals of E. picta. Individuals collected (n = 178) from coral and adjacent habitats (e.g., rubble, soft sediments) were measured and their sex determined. Males and females were comparable in size (to 53.5 mm carapace length) and exhibited a sex ratio of approximately 1:1. Eumunida picta were most frequently observed as solitary individuals on high-profile coral matrix and were noted only infrequently on coral rubble, or rarely on soft substratum. Presence of coral habitat (i.e., live/dead L. pertusa), geographic region within the sampling area, and depth significantly influenced abundances of E. picta. Additionally, coral habitat (dead versus live coral), vertical position on the coral (upper, middle, or lower zone), as well as horizontal position in relation to the coral matrix (outer surface versus embedded in coral matrix) were significant factors influencing E. picta distributions within the coral habitat. More individuals were found on dead versus live coral, and most frequently occurred on the outer surfaces of coral branches located on the upper portion or near the tops of coral colonies. Eumunida picta were most often observed with claws extended into the water column. This unique hunting stance provides this squat lobster the opportunity to capture prey from the water column. An active predator, this species utilizes both pelagic (i.e., fishes, pyrosomes) and benthic (e.g., scavenging and grazing) food resources, and may function as an important trophic link between the water column and the benthos. Although considered a facultative reef associate in the strictest sense of the term, E. picta has a complex and intimate relationship with L. pertusa. Based on observations from dive videos, E. picta is a dominant and ecologically important member of the invertebrate assemblage associated with deep-sea coral habitats off the SEUS. As such, this species figures prominently in the structure and function of this ecosystem.",NO,NOT_CONFIRMED,,JOUR,10.1016/j.dsr.2022.103953,https://doi.org/10.1016/j.dsr.2022.103953
V6V-010,CWC-052940936060,DEEPCOLD_CONTEXT_OR_CITATION,Biodiversity and community composition of sediment macrofauna associated with deep-sea Lophelia pertusa habitats in the Gulf of Mexico,CITATION_CHAIN_CANDIDATE,C01_DEEP_COLD_CONTEXT_NO_RESPONSE,HIGH,Confirm that reference mining is specifically justified.,,,"The abstract clearly describes a deep-sea Lophelia pertusa habitat study examining sediment macrofaunal community composition near coral versus background sediments. No coral or sponge response to sediment exposure is reported; the responses are for macrofauna, which is outside scope. The source is substantive and has a direct sediment focus, making it a credible citation-chain lead for finding in-scope sediment response evidence in deep-sea coral habitats. Therefore CITATION_CHAIN_CANDIDATE with C01_DEEP_COLD_CONTEXT_NO_RESPONSE is appropriate.","Scleractinian corals create three-dimensional reefs that provide sheltered refuges, facilitate sediment accumulation, and enhance colonization of encrusting fauna. While heterogeneous coral habitats can harbor high levels of biodiversity, their effect on the community composition within nearby sediments remains unclear, particularly in the deep sea. Sediment macrofauna from deep-sea coral habitats (Lophelia pertusa) and non-coral, background sediments were examined at three sites in the northern Gulf of Mexico (VK826, VK906, MC751, 350-500 m depth) to determine whether macrofaunal abundance, diversity, and community composition near corals differed from background soft-sediments. Macrofaunal densities ranged from 26 to 125 individuals 32 cm(-2) and were significantly greater near coral versus background sediments only at VK826. Of the 86 benthic invertebrate taxa identified, 16 were exclusive to near-coral habitats, while 14 were found only in background sediments. Diversity (Fisher's a) and evenness were significantly higher within near-coral sediments only at MC751 while taxon richness was similar among all habitats. Community composition was significantly different both between near-coral and background sediments and among the three primary sites. Polychaetes numerically dominated all samples, accounting for up to 70% of the total individuals near coral, whereas peracarid crustaceans were proportionally more abundant in background sediments (18%) than in those near coral (10%). The reef effect differed among sites, with community patterns potentially influenced by the size of reef habitat. Taxon turnover occurred with distance from the reef, suggesting that reef extent may represent an important factor in structuring sediment communities near L pertusa. Polychaete communities in both habitats differed from other Gulf of Mexico (GOM) soft sediments based on data from previous studies, and we hypothesize that local environmental conditions found near L pertusa may influence the macrofaunal community structure beyond the edges of the reef. This study represents the first assessment of L pertusa-associated sediment communities in the GOM and provides baseline data that can help define the role of transition zones, from deep reefs to soft sediments, in shaping macrofaunal community structure and maintaining biodiversity; this information can help guide future conservation and management activities. Published by Elsevier Ltd.",NO,NOT_CONFIRMED,,article,10.1016/j.dsr.2014.07.014,https://doi.org/10.1016/j.dsr.2014.07.014
V6V-012,CWC-FA6A2B921E3D,DEEPCOLD_CONTEXT_OR_CITATION,"Near-bed particle deposition and resuspension in a cold-water coral mound area at the Southwest Rockall Trough margin, NE Atlantic",CITATION_CHAIN_CANDIDATE,C03_STRESSOR_OR_TRAIT_LEAD,HIGH,Confirm that reference mining is specifically justified.,,,"The record involves cold-water corals and an explicit sediment-related pathway (particle deposition/resuspension, mass fluxes) but does not report any eligible biological response (mortality, growth, physiology, etc.). Therefore it is not CORE_INCLUDE. It is a substantive deep-sea cold-water coral source with a direct sediment dynamics focus, making it a useful citation-chain lead to find response evidence. It is not a warm-water/tropical study, so not EXCLUDE. It is clearly not TRANSFERABLE_MECHANISM or UNCERTAIN. The reason code C03_STRESSOR_OR_TRAIT_LEAD fits because the sediment focus is a stressor-pathway lead rather than a review or monitoring context.","Cold-water coral reefs and mounds are observed mainly on slopes and topographic highs, in areas with high current speeds. Previous investigations of the near-bed hydrodynamic regime around cold-water coral mounds at the Southwest Rockall Trough margin have revealed the presence of internal waves with a diurnal tidal frequency. Hitherto only short-term measurements existed on the particle supply to the corals and data are lacking on the seasonal variability. Bottom landers equipped with sensors recording near-bottom current dynamics were deployed at two sites in a mound area on the Southwest Rockall Trough margin, one with a dense coral cover and one without coral cover. At both sites a similar seasonal variation in internal-wave activity was recorded with high activity during winter and summer months and less dynamic conditions in spring and autumn. Increased intensity of internal-wave activity, reflected in higher average near-bottom current speed and amplitude of daily temperature fluctuations, results in higher mass fluxes as recorded in the sediment traps. On the site without coral cover, mass fluxes are two times higher, compared to the site with dense coral cover. During periods of high mass fluxes a predominance of resuspended material was observed at both sites, as indicated by reduced Pb-210 activity and low organic matter concentrations. The flux of resuspended material largely masked the primary pelagic signal. However, low delta N-15 values in early spring and summer marked the arrival of fresh particles on both sites. A dense coral framework, baffling a large amount of particles settling between the coral branches, results in differences in particle flux, chemical composition and freshness of the trapped material. On the long term the presence of a coral framework plays a crucial role in the build-up of cold-water coral mounds. (C) 2009 Elsevier Ltd. All rights reserved.",NO,NOT_CONFIRMED,,article,10.1016/j.dsr.2009.01.006,https://doi.org/10.1016/j.dsr.2009.01.006
V6V-016,CWC-DE28CCA01688,DEEPCOLD_RESPONSE,Reefal coralline algal build-ups within the Arctic Circle: morphology and sedimentary dynamics under extreme environmental seasonality,EXCLUDE,X01_ORGANISM_OUT_OF_SCOPE,HIGH,Audit possible silent exclusion from the deep/cold response-enriched stratum.,,,"The record is about coralline algal build-ups in the Arctic, not deep-sea or cold-water corals or sponges. No coral/sponge sediment-related response is described. It is therefore out of scope for core inclusion, and the lack of a coral/sponge focus means it is not a suitable citation-chain candidate.","Carbonate frameworks secreted by phototrophic organisms within the Arctic Circle are not well documented. Underwater surveys of the inner-shelf off Troms, northern Norway (70 degrees N), reveal extended fixed algal build-ups which are fringed by rhodolith belts affected by storms. Reefal growth by coralline algae under temperature and light regimes of extreme seasonality is made possible because of a decoupling of carbon fixation during summer and utilization of stored carbon during the period of winter darkness. Although the annual growth of the framework constructing algae is comparatively low, the annual carbonate production rate is similar to subtropical-tropical counterparts because of a remarkably high standing stock. Early diagenetic alteration is restricted to intraparticle cementation processes which start in vivo. Bioerosional destruction is the dominant control on the preservation of high latitude build-ups. Preservation of Holocene autochthonous coralline algal biostromes is enhanced by rapid burial during storm events. Redeposition during storms is the most important process in forming a distinct sedimentary facies zonation.",NO,NOT_CONFIRMED,,Review,10.1111/j.1365-3091.1994.tb01435.x,https://www.semanticscholar.org/paper/c6991c96cf6ba48dd92b194ab2140b321df2b955
V6V-022,CWC-3FF748AC3C6B,AMBIGUOUS_TITLE_ONLY,SOLITARY CORAL GROWTH FORMS AND DISTRIBUTION PATTERNS AS INDEX OF SEDIMENT-ACCUMULATION RATES,UNCERTAIN,U01_MISSING_ABSTRACT,LOW,Resolve if the supplied title/abstract is sufficient; otherwise retain UNCERTAIN.,,,"Title suggests a link between solitary coral growth forms and sediment accumulation rates, but the abstract is missing and no full text is identified. It cannot be determined whether the corals are deep-sea or cold-water, whether the study evaluates a biological response to sediment exposure, or whether the source is substantive enough for inclusion. The stressor and response are potentially within scope, but the organism context is ambiguous. Since the record lacks sufficient information to distinguish among categories, it is marked UNCERTAIN with reason code U01_MISSING_ABSTRACT.",,NO,NOT_CONFIRMED,,JOUR,,
V6V-028,CWC-ECD90E3C96E1,DEEPCOLD_RESPONSE,A new laboratory method for monitoring deep-water coral polyp behaviour,CITATION_CHAIN_CANDIDATE,C02_REVIEW_OR_MONITORING_LEAD,HIGH,Confirm that reference mining is specifically justified.,,,"The record presents a method for monitoring deep-water coral polyp behaviour, with a clear conceptual link to sediment disturbance and a stated capability to record responses to sedimentation. However, no actual sediment exposure or biological response to sediment is observed or measured in the study itself. Therefore it is not CORE_INCLUDE. It is also not EXCLUDE because the deep-sea/cold-water context and direct sediment/monitoring focus make it a credible citation-chain lead. The closest alternative would be EXCLUDE for lack of response, but the explicit sediment/monitoring framing justifies CITATION_CHAIN_CANDIDATE.","Deep-water corals are found along the oceanic margins world-wide and in the north east Atlantic the most abundant species is Lophelia pertusa (L.). There is now growing evidence that deep-water reefs formed by such species are coming under increasing pressures from resource exploitation, principally deep-sea trawling and hydrocarbon exploration. Here a novel and unobtrusive method of recording deep-water coral behaviour in the laboratory is described using time-lapse video to record silhouettes of the polyps under infrared illumination. The polyps of L. pertusa behaved asynchronously and did not show any clear diurnal patterns over a three-day observation period. Conceptually, sessile benthic suspension feeders appear to be vulnerable to smothering by sediments disturbed by bottom trawls or sub-seabed drilling. This method allows deep-water coral polyp behaviour to be continuously monitored in the laboratory and, therefore, the responses of coral polyps to environmental perturbations such as sedimentation can be recorded. Further work is necessary to resolve the sensitivity of deep-water corals to short-term environmental change and the combined approach of in situ monitoring and subsequent laboratory experimentation has great potential to address these issues.",NO,NOT_CONFIRMED,,article,10.1023/a:1016513607002,https://doi.org/10.1023/a:1016513607002
V6V-030,CWC-074B411D14C5,DEEPCOLD_RESPONSE,"The Dangeard and Explorer canyons, South Western Approaches UK: Geology, sedimentology and newly discovered cold-water coral mini-mounds",CITATION_CHAIN_CANDIDATE,C02_REVIEW_OR_MONITORING_LEAD,HIGH,Confirm that reference mining is specifically justified.,,,"The record describes a cold-water coral habitat within a sedimentary canyon context, but lacks any explicit sediment exposure or biological response. It is therefore not core. It is a substantive deep-sea/cold-water coral source with a strong sedimentological and monitoring focus, making it a credible citation-chain lead for finding in-scope response evidence. The closest alternative, CORE_INCLUDE, is not supported because no trait or response is assessed. EXCLUDE would overlook the value of its reference list for high-recall screening.","The Celtic Margin is a complex area in terms of sedimentary dynamics and evolution, with a number of submarine canyons dissecting the continental slope and outer continental shelf. The complex terrain and diverse range of sea-bed sediments play a part in submarine canyons being described as areas of high habitat heterogeneity. This study has concentrated on the heads of two canyons: Dangeard (also known as Dangaard) and Explorer (first named here) located in UK territorial waters, in water depths between 138 and 1165 m. Multibeam echosounder, 2D reflection seismic and photographic ground-truthing data have been combined to map the sea-bed geomorphology, sedimentary features and canyon megafauna of these canyons. In addition, two previously unknown provinces of cold-water coral (CWC) mini-mounds were discovered on the interfluves of the Dangeard and Explorer canyons. The study area comprises a dendritic network of gullies feeding into the canyon thalwegs. Amphitheatre rims, where slope angles are commonly in excess of 20 degrees, occur along the margins and heads of both canyons and are interpreted as drainage basins indicative of retrogressive mass-wasting in a shelfward direction. The CWC mini-mounds occur in water depths between 250 m and 410 m, with more than 400 mounds identified. They are up to 3 m in height and 50-150 m in diameter with no sub-surface expression, suggesting these mounds are, in geological terms, relatively young and possibly Holocene in age. Biological analyses revealed that the mounds form a habitat for ophiuroids and Munida associated with Lophelia pertusa coral rubble, suggesting these mini-mounds are not present-day living features. Crown Copyright (C) 2013 Published by Elsevier Ltd. All rights reserved.",YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,http://nora.nerc.ac.uk/id/eprint/507792/1/Stewart_et_al_submitted_manuscript_FINAL_for_NORA.pdf,article,10.1016/j.dsr2.2013.08.018,https://doi.org/10.1016/j.dsr2.2013.08.018
V6V-034,CWC-5B4499AD4C1C,DEEPCOLD_RESPONSE,"Sedimentary processes and cold-water coral mini-mounds at the Ferrol canyon head, NW Iberian margin",CITATION_CHAIN_CANDIDATE,C01_DEEP_COLD_CONTEXT_NO_RESPONSE,HIGH,Confirm that reference mining is specifically justified.,,,"This is a geomorphological/sedimentary study of a cold-water coral mini-mound province. It documents sediment resuspension, bottom-current processes, and CWC mound occurrence/depth, but no measured or explicitly assessed sediment-related biological response. It is therefore not core. It is a substantive deep-sea/cold-water coral source with direct sediment-process focus, making its reference list a promising lead for in-scope response studies. A transferable-mechanism label is inappropriate because no organism-level response is tested. An exclusion would be too strong because the deep-sea CWC and sediment focus provide citation-mining value.","The western Iberian margin has a complex morphology controlled by both geological and oceanographic processes. Compared to the submarine canyons in the southern part of this margin (e.g. Nazare and Setubal), the canyons in the northern part (e.g. Ferrol and A Corufia) have received little attention. This study maps the geomorphological features around the Ferrol canyon head and combines them with oceanographic observations to infer the sedimentary and oceanographic processes active in this area. Furthermore, the occurrence of a cold water coral (CWC) mini-mound province near the canyon head and the Ortegal Spur pockmark field is investigated with regard to seepage processes, oceanographic conditions and anthropogenic impact. The Ferrol canyon head and outer Ortegal Spur are characterized by erosional (erosional and abraded surfaces, contourite channels and furrows), depositional (contourite drifts and sediment waves) and mixed (contourite terrace) features, indicating a dominant control of bottom currents on the sedimentary processes. Bottom currents are related to the interaction of the canyon head topography with both the Mediterranean Outflow Water (MOW) slope current and with M2 internal tides associated to the interface (pycnocline) between Eastern North Atlantic Central Water (ENACW) and MOW. Due to this interaction, the Ferrol canyon head is subject to active sediment resuspension and forms a potential source area for the intermediate nepheloid layers along the NW Iberian upper slope. The CWC mini-mounds (1.9-2.7 m high and 75-141 m in diameter) occur between 400 and 560 m depth. Seismic facies signatures indicative of fluid-flow and morphometric analysis implies that larger CWC mini mounds adjacent to the pockmark field initiated by colonization of pre-existing pockmarks, while smaller more clustered mounds developed independently. The observed mini-mounds are relict features likely related to their position outside of the contemporary ENACW-MOW interface which favours CWC growth through (1) increased bottom currents, enhancing food supply and (2) the presence of a potential density envelope sigma(theta) = 27.35-27.65 kg/m(3), proposed to control coral larvae transport along the NE Atlantic margin. Alternatively, the lack of contemporary coral growth might be related to habitat destruction by bottom trawling. However, a preliminary age constraint reveals CWC growth occurred during the early Holocene, coeval to relict CWC mini mounds near canyon heads on the Armorican margin. Their existence suggests a regional shift in the NE Atlantic density profile where the ENACW-MOW interface occurred up to 200 m above its contemporary position.",NO,NOT_CONFIRMED,,article,10.1016/j.pocean.2018.02.027,https://doi.org/10.1016/j.pocean.2018.02.027
V6V-039,CWC-543E1FDEF0FC,DEEPCOLD_RESPONSE,Unravelling the enigma of discontinuous sedimentary deposits in cold-water coral mounds in the Atlantic Ocean,CITATION_CHAIN_CANDIDATE,C02_REVIEW_OR_MONITORING_LEAD,HIGH,Confirm that reference mining is specifically justified.,,,"The supplied text describes cold-water coral mounds and reviews sedimentary processes (hiatuses, winnowing, non-deposition) but does not report any coral or sponge biological response to a sediment stressor. Therefore it is not CORE_INCLUDE. It is not a warm-water analogue, so TRANSFERABLE_MECHANISM is inappropriate. As a substantive deep-sea/cold-water coral-focused review with a direct sediment-deposition focus, its references are reasonably likely to lead to in-scope response evidence, making CITATION_CHAIN_CANDIDATE the best fit. C02_REVIEW_OR_MONITORING_LEAD is used because this is a review with a strong sedimentary focus that could lead to trait/response studies.","Cold-water coral mounds are common along the continental margins of the Atlantic Ocean. They are formed by coral growth and sediment accumulation and consist of coral fragments embedded in hemipelagic sediments. Coral mounds are expected to provide high-resolution palaeo-records due to their elevated morphology. However, most sediment cores from coral mounds exhibit significant hiatuses (stratigraphic gaps), often spanning more than 100 kyr, raising questions about the fate of deposits formed during these periods. Three processes behind the hiatuses are critically reviewed: gravity-induced mass wasting, non-deposition, and winnowing. While mass wasting could remove entire mound layers, hydrodynamically controlled processes like non-deposition and winnowing affect fine-grained sediments and do not mobilise larger coral fragments. Evidence for large-scale mass wasting events on coral mounds remains inconclusive, suggesting that hydrodynamic processes are the primary cause of the hiatuses in the mound record . Consequently, the coral record preserved on the mounds is typically complete. Mound formation occurs during active reef growth, while during periods without reef growth, strong hydrodynamics enhanced by the mound morphology increasing turbulence around the mound prevent sustained sediment accumulation, causing the frequently observed hiatuses.",YES,FROZEN_PUBLIC_FULL_TEXT_LOCATION,https://www.frontiersin.org/journals/marine-science/articles/10.3389/fmars.2025.1611432/pdf,article,10.3389/fmars.2025.1611432,https://doi.org/10.3389/fmars.2025.1611432
V6V-040,CWC-00D54340DAEA,DEEPCOLD_CONTEXT_OR_CITATION,"The sediment composition and predictive mapping of facies on the Propeller Mound—A cold-water coral mound (Porcupine Seabight, NE Atlantic)",CITATION_CHAIN_CANDIDATE,C02_REVIEW_OR_MONITORING_LEAD,HIGH,Confirm that reference mining is specifically justified.,,,"The abstract describes sediment composition and facies mapping on a cold-water coral mound, but does not report an organism-level response to a sediment stressor. It is a substantive deep-sea/cold-water coral source with a strong sediment/facies focus, making it a plausible citation-chain lead to in-scope response evidence. It is not core because no eligible biological response is described; it is not transferable because no mechanism is tested. Therefore, citation-chain candidate is the best fit.","Here we provide a detailed qualitative and quantitative insight on recent sediment composition and facies distribution of a cold-water coral (CWC) mound using the example of the Propeller Mound on the Irish continental margin (Hovland Mound Province, Porcupine Seabight). Five facies types on Propeller Mound are defined: (1) living coral framework, (2) coral rubble, (3) dropstone, (4) hardground, representing the on-mound facies, and (5) hemipelagic sediment facies, which describes the off-mound area This facies definition is based on already published video-data recorded by Remotely Operated Vehicle (ROV), photo-data of gravity cores, box cores, and dredges from sediment surfaces as well as on the composition of the sediment fraction coarser than 125 pm, which has been analyzed on five selected box cores Sediment compositions of the living coral framework and coral rubble facies are rather similar. Both sediment types are mainly produced by corals (34 and 35 wt%, respectively), planktonic foraminifers (22 and 29 wt%, respectively), benthic foraminifers (both 7 wt%), and molluscs (21 and 10 wt%, respectively), whereas the living coral framework characteristically features additional brachiopods (6 wt%). Hardgrounds are well-lithified coral rudstones rich in coral fragments ( > 30 surf), foraminifers, echinoderms, and bivalves. The dropstone facies and the hemipelagic sediment typically carry high amounts of lithoclasts (36 and 53 wt%, respectively) and planktonic foraminifers (35 and 32 wt%, respectively), however, their faunal diversity is low compared with the coral-dominated facies (12 and <2 wt% coral fragments, 7 and 6 wt% benthic foraminifers, and 4 and 0 wt% balanids). Using the maximum likelihood algorithm within ArcGIS 9.2, spatial prediction maps of the previously described mound facies are calculated over Propeller Mound and are based on mound morphology parameters, ground-truthed with the sedimentary and faunal information from box cores, photographs, and video-data. This method is tested for the first time for CWC ecosystems and provides areal estimates of the predicted facies, as well as suggests further occurrences of living coral frameworks, coral rubble, and dropstones, which are not discovered in the area yet. Thus, sediment composition analysis combined with facies prediction mapping might provide a potential new tool to estimate living CWC occurrences and sediment/facies distributions on CWC mounds, which is an important prerequisite for budget calculations and definition of marine protected areas, and which will improve our understanding of CWC mound formation (C) 2010 Elsevier Ltd. All rights reserved.",NO,NOT_CONFIRMED,,article,10.1016/j.csr.2010.08.007,https://doi.org/10.1016/j.csr.2010.08.007
