event_id,calibration_record_id,corpus_id,source_decision,final_category,resolution_basis,detail
FU-08,BV-004,CWC-93C925DB4EEE,YES,CORE_INCLUDE,REVIEWER_FOLLOWUP,Classify this included record as CORE_INCLUDE or TRANSFERABLE_MECHANISM.
FU-03,CAL-0006,CWC-19F713252CB7,YES,CORE_INCLUDE,REVIEWER_FOLLOWUP,Classify this included record as CORE_INCLUDE or TRANSFERABLE_MECHANISM.
FU-10,BV-002,CWC-D670110C23A8,YES,CORE_INCLUDE,REVIEWER_FOLLOWUP,Classify this included record as CORE_INCLUDE or TRANSFERABLE_MECHANISM.
FU-02,CAL-0061,CWC-18A1BC367C4A,YES,CORE_INCLUDE,REVIEWER_FOLLOWUP,Classify this included record as CORE_INCLUDE or TRANSFERABLE_MECHANISM.
FU-11,CAL-0126,CWC-D853A48EC603,YES,TRANSFERABLE_MECHANISM,REVIEWER_FOLLOWUP,Classify this included record as CORE_INCLUDE or TRANSFERABLE_MECHANISM.
FU-01,BV-008,CWC-104B2C5A7924,YES,TRANSFERABLE_MECHANISM,REVIEWER_FOLLOWUP,Classify this included record as CORE_INCLUDE or TRANSFERABLE_MECHANISM.
FU-04,CAL-0243,CWC-2B5110CD6CD1,YES,TRANSFERABLE_MECHANISM,REVIEWER_FOLLOWUP,Classify this included record as CORE_INCLUDE or TRANSFERABLE_MECHANISM.
FU-06,CAL-0147,CWC-6ABFA4BF4E10,YES,UNCERTAIN,REVIEWER_FOLLOWUP,Reviewer correction: final category changed to UNCERTAIN on 2026-08-17.
FU-14,CAL-0314,CWC-80F2522E8BE3,NO,EXCLUDE,REVIEWER_FOLLOWUP,This record is in the selected RIS but is NO in the decision CSV; confirm the final decision.
FU-15,CAL-0323,CWC-C60419A3A646,NO,EXCLUDE,REVIEWER_FOLLOWUP,This record is in the selected RIS but is NO in the decision CSV; confirm the final decision.
FU-09,BV-001,CWC-D0DB0DCA6CA8,YES,TRANSFERABLE_MECHANISM,REVIEWER_FOLLOWUP,Classify this included record as CORE_INCLUDE or TRANSFERABLE_MECHANISM.
FU-12,CAL-0070,CWC-EF0CBC2EDD39,YES,CORE_INCLUDE,REVIEWER_FOLLOWUP,Classify this included record as CORE_INCLUDE or TRANSFERABLE_MECHANISM.
FU-07,BV-006,CWC-7A3BE9870A2A,YES,CORE_INCLUDE,REVIEWER_FOLLOWUP,Classify this included record as CORE_INCLUDE or TRANSFERABLE_MECHANISM.
FU-13,BV-007,CWC-4D83BD3A455E,NO,EXCLUDE,REVIEWER_FOLLOWUP,This record is in the selected RIS but is NO in the decision CSV; confirm the final decision.
FU-05,CAL-0113,CWC-5B85EC31589B,YES,CORE_INCLUDE,REVIEWER_FOLLOWUP,Classify this included record as CORE_INCLUDE or TRANSFERABLE_MECHANISM.
DEDUP-01,CAL-0218,CWC-39AEBCB813DD,ABSENT_AFTER_COVIDENCE_DEDUPLICATION,EXCLUDE,MANUAL_DUPLICATE_RECONCILIATION,Covidence exact-title duplicate of CWC-BEA6991859F6; inherited NO/EXCLUDE.
DEDUP-02,CAL-0005,CWC-D3A8DA7C158A,ABSENT_AFTER_COVIDENCE_DEDUPLICATION,EXCLUDE,MANUAL_DUPLICATE_RECONCILIATION,Covidence generic-title collision ('Dispatches') with CWC-86111C71AF4B; both records are irrelevant.
