query_id,family,source,date_searched,paper_id,corpus_id,title,authors,year,publication_date,venue,publication_types,doi,arxiv_id,pubmed_id,url,is_open_access,open_access_pdf_url,citation_count,reference_count,influential_citation_count,fields_of_study,s2_fields_of_study,abstract
SS_RESP_THRESHOLD_RECOVERY_01,RESP_THRESHOLD_RECOVERY,Semantic Scholar Academic Graph API,2026-08-13,000e8337b58b8e581863098b1a8f3f918455b227,32894466,Nearshore Turbid-Zone Corals Exhibit High Bleaching Tolerance on the Great Barrier Reef Following the 2016 Ocean Warming Event,K. Morgan; C. Perry; J. Johnson; S. Smithers,2017,2017-07-19,Frontiers in Marine Science,Review,10.3389/fmars.2017.00224,,,https://www.semanticscholar.org/paper/000e8337b58b8e581863098b1a8f3f918455b227,True,https://www.frontiersin.org/articles/10.3389/fmars.2017.00224/pdf,145,62,12,Biology,Biology; Environmental Science,"High sea surface temperatures (SSTs) on the Great Barrier Reef (GBR) during summer 2015/2016 caused extensive coral bleaching, with aerial and in-water surveys confirming high (but variable) bleaching-related coral mortality. In contrast, bleaching impacts on nearshore turbid-zone reefs, traditionally considered more “marginal” coral habitats, remain poorly documented. This is because rapid ecological surveys are difficult in these turbid water settings, and baseline coral community data from which to quantify disturbance are rare. However, models suggest that the extreme environmental conditions characteristic of nearshore settings (e.g., fluctuating turbidity, light and temperature) may acclimate corals to the thermal anomalies associated with bleaching on offshore reefs, although validation by field evidence has to-date been sparse. Here we present a novel pre- (June 2013/2014) and post-warming (August 2016) assessment of turbid-zone coral communities and examine the response of corals to prolonged and acute heat stress within the Paluma Shoals reef complex, located on the central GBR. Our analysis of 2,288 still video frames (~1,200 m2) which include 11,374 coral colonies (24 coral genera) suggest a high tolerance of turbid-zone corals to bleaching, with no significant changes in coral cover (pre: 48 ± 20%; post: 55 ± 26%) or coral community structure (e.g., Acropora, Montipora, Turbinaria, Porites) following the warming event. Indeed, only one coral colony (Lobophyllia sp.) exhibited full colony bleaching, and just 1.5% of colonies displayed partial pigmentation loss (<20% colony surface). Taxa-specific responses to this thermal stress event contrast with clear-water assessments, as Acropora corals which are normally reported as highly susceptible to bleaching on clear-water reefs were least impacted at Paluma Shoals, a phenomena that has been observed within other turbid settings. Importantly, field surveys confirm regional SSTs were sufficiently high to induce coral bleaching (i.e., comparable number of degree heating days in nearshore and offshore areas), but bleaching severity was much higher at central GBR offshore sites. A more optimistic outlook than is generally offered for nearshore reefs on the central GBR may be implied by our results, which highlights the importance of these resilient but often overlooked coral reef habitats as potential refugia during climate-related disturbances."
SS_RESP_THRESHOLD_RECOVERY_01,RESP_THRESHOLD_RECOVERY,Semantic Scholar Academic Graph API,2026-08-13,00188e8f075f6779c00b394943492cefb1f54f1c,276698030,The role of coral mucus in the material cycle in reef ecosystems,Ryota Nakajima,2015,,,Review,,,,https://www.semanticscholar.org/paper/00188e8f075f6779c00b394943492cefb1f54f1c,False,,0,6,0,,Environmental Science; Biology,
SS_RESP_THRESHOLD_RECOVERY_01,RESP_THRESHOLD_RECOVERY,Semantic Scholar Academic Graph API,2026-08-13,004b0217fc23719e5ed3f6c78ecc25c38059e509,53143466,Recreating pulsed turbidity events to determine coral–sediment thresholds for active management,N. Browne; J. K. Tay; P. Todd,2015,2015-05-01,,Review,10.1016/J.JEMBE.2015.02.010,,,https://www.semanticscholar.org/paper/004b0217fc23719e5ed3f6c78ecc25c38059e509,True,https://espace.curtin.edu.au/bitstream/20.500.11937/11460/2/226956_226957.pdf,35,84,2,Biology,Biology; Environmental Science,
SS_RESP_THRESHOLD_RECOVERY_01,RESP_THRESHOLD_RECOVERY,Semantic Scholar Academic Graph API,2026-08-13,00a5c42e6b9b149390027cbd3254bd96bb74bd7a,133241193,Some observation on the structure and distribution of Gorgonian assemblages in the eastern Mediterranean Sea,M. Salomidi; Christopher J. Smith; S. Katsanevakis; P. Panayotidis; V. Papathanassiou,2014,2014-08-05,,Review,,,,https://www.semanticscholar.org/paper/00a5c42e6b9b149390027cbd3254bd96bb74bd7a,False,,8,1,0,Geography,Geography; Environmental Science; Geology,
SS_RESP_THRESHOLD_RECOVERY_01,RESP_THRESHOLD_RECOVERY,Semantic Scholar Academic Graph API,2026-08-13,0115caccec7dbe05f8da308d0facb065dcd3426c,4051505,Effects of suspended drill cuttings on the coral Lophelia pertusa using pulsed and continuous exposure scenarios,T. Baussant; Marianne Nilsen; E. Ravagnan; S. Westerlund; Sreerekha S. Ramanand,2018,2018-03-14,"Journal of Toxicology and Environmental Health, Part A",JournalArticle,10.1080/15287394.2018.1444375,,29537937,https://www.semanticscholar.org/paper/0115caccec7dbe05f8da308d0facb065dcd3426c,True,https://figshare.com/articles/journal_contribution/Effects_of_suspended_drill_cuttings_on_the_coral_i_Lophelia_pertusa_i_using_pulsed_and_continuous_exposure_scenarios/5984998,17,61,2,Medicine; Chemistry,Medicine; Chemistry; Environmental Science,"ABSTRACT This study aimed at providing confidence in the predictability of the impacts of drill cuttings (DC) discharge on the cold-water coral Lophelia pertusa. L. pertusa was exposed to DC from offshore exploration in the lab with the goal to assess precautionary thresholds of effects. Two exposure scenarios with DC were tested: a long-term (LT) pulsed exposure (12 weeks, peak concentrations: 2–50 mg/L, mean concentrations: 1–25 mg/L) and a short-term (ST) continuous exposure (2.5 weeks, mean concentrations: 4–42 mg/L). After exposure, a recovery period of 16 and 4 weeks was maintained in LT and ST, respectively. While there was an assumption that DC might result in an increase in respiration, decrease in growth, enhanced mucus production, reduced fatty acid content, only a significant rise was noted in skeleton growth at DC 4 mg/L and a significant increase of mucus particulate organic carbon at 25 mg/L at end of the exposure. DC did not markedly reduce prey capture rate consecutive to DC exposure. However, the effect of DC produced an increase of coral polyp activity during exposure and a return to pre-exposure conditions after cessation of DC, and coenosarc was smothered from DC even after a long recovery period (4 weeks). Overall, a DC concentration of 10 mg/L seems to represent a threshold above which changes in coral conditions were observed however with no apparent physiological consequences for the coral within the experimental time scale."
SS_RESP_THRESHOLD_RECOVERY_01,RESP_THRESHOLD_RECOVERY,Semantic Scholar Academic Graph API,2026-08-13,017262a716e72f5ef1a117c31fcd2158b33cb85a,52947890,Photoacclimation to light-limitation in a clionaid sponge; implications for understanding sponge bioerosion on turbid reefs.,Joseph Marlow; S. Davy; A. Haris; J. Bell,2018,2018-10-01,Marine Pollution Bulletin,JournalArticle,10.1016/j.marpolbul.2018.07.049,,30301060,https://www.semanticscholar.org/paper/017262a716e72f5ef1a117c31fcd2158b33cb85a,False,,4,84,0,Medicine; Environmental Science,Medicine; Environmental Science; Environmental Science,"Watershed-based pollution is a common form of coral reef degradation. Affected reefs are often highly turbid, where light-limitation confines the distribution of photosynthetic benthic taxa and the capacity for photoacclimation is important for survival. We investigated low light photoacclimation in a Symbiodinium-hosting bioeroding sponge using in situ PAM fluorometry. Cliona aff. viridis was artificially shaded (70 & 95% ambient light reduction) on a low turbidity Indonesian reef for 25 days, with a subsequent 14-day recovery period. Significant changes in rETRmax, and qP, and a non-significant but observable decline in Ek, demonstrated that C. aff. viridis is able to photoacclimate to conditions of extreme light reduction and recover within a relatively short period of time. The sponge is therefore unlikely to be light limited on even the most turbid reefs. However, other aspects of watershed-pollution such as sedimentation may still limit their distribution in affected coastal waters."
SS_RESP_THRESHOLD_RECOVERY_01,RESP_THRESHOLD_RECOVERY,Semantic Scholar Academic Graph API,2026-08-13,0187c52abd15f89c45da72cbd7f94f2c4e6af484,128047447,A carbonate and terrigenous sediment budget for inshore turbid reefs on the Great Barrier Reef,N. Browne,2011,2011-09-01,,,,,,https://www.semanticscholar.org/paper/0187c52abd15f89c45da72cbd7f94f2c4e6af484,False,,2,0,0,Geology,Geology; Environmental Science; Geology,
SS_RESP_THRESHOLD_RECOVERY_01,RESP_THRESHOLD_RECOVERY,Semantic Scholar Academic Graph API,2026-08-13,01a12514d1c0964d058eb39bb96f7742a742e0e3,35760082,Environmental conditions influence tissue regeneration rates in scleractinian corals.,Alexis M. Sabine; T. Smith; Dana E Williams; M. Brandt,2015,2015-06-15,Marine Pollution Bulletin,JournalArticle,10.1016/j.marpolbul.2015.04.006,,25982415,https://www.semanticscholar.org/paper/01a12514d1c0964d058eb39bb96f7742a742e0e3,False,,29,77,3,Biology; Medicine,Biology; Medicine; Environmental Science,
SS_RESP_THRESHOLD_RECOVERY_01,RESP_THRESHOLD_RECOVERY,Semantic Scholar Academic Graph API,2026-08-13,01f3e913fb3b5c0a01149b4051594472f2e53639,80968456,The ecosystem role of parrotfishes on coral reefs,R. M. Bonaldo,2010,2010-06-01,,,,,,https://www.semanticscholar.org/paper/01f3e913fb3b5c0a01149b4051594472f2e53639,False,,1,168,0,Biology,Biology; Environmental Science; Biology,
SS_RESP_THRESHOLD_RECOVERY_01,RESP_THRESHOLD_RECOVERY,Semantic Scholar Academic Graph API,2026-08-13,0234f5455a2b09c1aa18756db4ad45f1fb8713a1,262206161,NEW STANDARDS FOR MITIGATING DREDGING IMPACTS IN SENSITIVE HABITATS IN SAUDI ARABIA,Kasper Kaergaard; T. Geil; Damien Trinder; B. Shepherd; David Mcgrath; E. Palmer,2023,2023-09-01,Coastal Engineering Proceedings,JournalArticle,10.9753/icce.v37.papers.48,,,https://www.semanticscholar.org/paper/0234f5455a2b09c1aa18756db4ad45f1fb8713a1,True,https://icce-ojs-tamu.tdl.org/icce/article/download/12687/11960,0,1,0,,Environmental Science,"We propose a systematic approach to monitoring and managing dredge operations based on industry best practice advice, tailored to the specific conditions in the Red Sea, including the following key elements: 1) Relocation of corals from the direct dredging footprint, 2) Development of a site and project-specific dredging environmental management plan, 3) Undertaking turbidity and coral monitoring, 4) Turbidity plume hindcast and forecast, 5) Adaptive management involving all key project stakeholders. The paper lists the above key elements and presents a case study from Sindalah Island where the system was successfully applied – the first time such an approach has been implemented in the Middle East region."
