validation_record_id,corpus_id,title,doi,url,final_category,core_include_trusted,review_required,reason_code,confidence,needs_full_text,rationale,organism_evidence,stressor_evidence,response_evidence,transferability_basis,citation_chain_basis,access,access_type,access_url,model_category,model_reason_code,adjudication_status,human_review_complete,reviewer_note
PEV-004,CWC-C69AD807E3BA,Tolerance to long-term exposure of suspended benthic sediments and drill cuttings in the cold-water coral Lophelia pertusa,10.1016/j.marpolbul.2013.02.033,https://doi.org/10.1016/j.marpolbul.2013.02.033,CORE_INCLUDE,True,False,,HIGH,False,"The abstract explicitly reports an experimental study on a cold-water coral (Lophelia pertusa) exposed to suspended benthic sediments and drill cuttings for 12 weeks. Measured responses include skeletal growth, polyp extension, respiration, tissue/fatty acid composition, mucus release, and larval vulnerability. This matches all CORE_INCLUDE criteria: relevant organism, explicit sediment/drill-cuttings exposure, and observed/measured biological responses. The study is substantive and directly on-topic. No other category is preferable; it is not merely a citation lead, not tropical, and not uncertain.",Cold-water coral Lophelia pertusa,Suspended benthic sediments (<63 μm) and water-based drill cuttings at concentrations ~5 and ~25 mg/L,Reduced skeletal growth at higher particle concentrations; decreased polyp extension; no significant impact on respiration or tissue/fatty acids; low mucus release; pilot evidence of larval vulnerability,,,NO,NOT_CONFIRMED,,CORE_INCLUDE,,ACCEPTED_AS_MODELLED,True,Accepted without change during completed human review.
PEV-005,CWC-66237F4DDA16,Rapid respiratory responses of the deep-water sponge Geodia barretti exposed to suspended sediments,10.3354/ab00522,https://doi.org/10.3354/ab00522,CORE_INCLUDE,True,False,,HIGH,False,"The record explicitly concerns a deep-water sponge exposed to suspended sediments, and it measures a biological response (respiration) with clear exposure-response relationships and recovery. This meets all CORE_INCLUDE criteria: deep-sea/cold-water organism, explicit sediment pathway, observed physiological response, and substantive experimental source. No alternative category is needed.","Deep-water sponge Geodia barretti (Demospongiae) from the Barents Sea, Norway.","Suspended sediments from bottom trawling, with experimental concentrations of 0, 10, 50, 100, and 500 mg l^-1.","Measured respiration rates before, during, and after exposure; 86% reduction in respiration at 100 mg l^-1, thresholds between 10 and 50 mg l^-1, and rapid recovery after exposure.",,,NO,NOT_CONFIRMED,,CORE_INCLUDE,,ACCEPTED_AS_MODELLED,True,Accepted without change during completed human review.
PEV-007,CWC-908DE8E1A7FD,"Barite and barium in sediments and coral skeletons around the hydrocarbon exploration drilling site in the Træna Deep, Norwegian Sea",10.1007/s00254-007-1145-4,https://doi.org/10.1007/s00254-007-1145-4,CITATION_CHAIN_CANDIDATE,False,False,C01_DEEP_COLD_CONTEXT_NO_RESPONSE,HIGH,False,"The record reports a deep-sea cold-water coral (Lophelia) and an explicit drilling-mud/sediment exposure pathway. However, it does not present an observed or measured biological response; 'stress' and 'damage' are inferred, and barite crystals trapped in coral polyps represent physical trapping rather than a trait response. Therefore CORE_INCLUDE is not justified. It is a substantive source with a clear sediment/drilling focus in a cold-water coral setting, making its reference list a credible route to in-scope evidence. EXCLUDE would be inappropriate given this direct relevance, and UNCERTAIN is unnecessary because the abstract provides enough to classify it as a citation-chain lead.","Lophelia pertusa coral reefs in the Træna Deep, Norwegian Sea (deep-sea cold-water coral).",Hydrocarbon exploration drilling mud containing barite; elevated sediment supply and dispersion; barite crystals in sediments and trapped in coral polyps.,"No measured or explicitly assessed biological response; 'stress' and 'damage' are inferred and stated not significant. Barite in polyps is physical trapping, not an eligible trait response.",,Substantive deep-sea/cold-water coral study with a direct drilling-mud and sediment-dispersal focus at Lophelia reefs; its reference list is likely to include in-scope sediment-related biological response studies.,NO,NOT_CONFIRMED,,CITATION_CHAIN_CANDIDATE,C01_DEEP_COLD_CONTEXT_NO_RESPONSE,ACCEPTED_AS_MODELLED,True,Accepted without change during completed human review.
PEV-009,CWC-1E8A06594C30,Appearance matters: sedimentation effects on different sponge morphologies,10.1017/s0025315414001787,https://doi.org/10.1017/s0025315414001787,UNCERTAIN,False,False,U02_AMBIGUOUS_ORGANISM,LOW,True,"The supplied abstract clearly reports sediment-related sponge responses (mortality, tissue necrosis, lack of pigment/microbiome changes) and identifies a sediment exposure pathway. However, it does not state whether the sponges are deep-sea/cold-water or warm-water/tropical. CORE_INCLUDE requires deep-sea/cold-water organisms; TRANSFERABLE_MECHANISM requires a non-core warm-water or tropical study. Because neither condition can be confirmed from the available text, and no specific exclusion is demonstrated, the record is UNCERTAIN. Full-text or additional metadata is needed to determine the habitat/temperature context and species biogeographic range. Confidence is LOW due to missing information.","Sponges (10 species encompassing massive, erect, cup, and encrusting morphologies); species include Callyspongia confoederata; no explicit deep-sea or cold-water designation.","Dredging-related sedimentation; single pulse of three sediment concentrations (0, 250, 500 mg l-1); TSS and sedimentation rates recorded; smothering of sponge surface mentioned.",Mortality of cup-shaped Callyspongia confoederata; small areas of tissue necrosis in other species; no changes in sponge pigments or microbial community structure.,,,NO,NOT_CONFIRMED,,UNCERTAIN,U02_AMBIGUOUS_ORGANISM,ACCEPTED_AS_MODELLED,True,Accepted without change during completed human review.
PEV-011,CWC-3BA5EE36CD77,Suspended sediment causes feeding current arrests in situ in the glass sponge Aphrocallistes vastus,10.1016/j.marenvres.2018.02.020,https://doi.org/10.1016/j.marenvres.2018.02.020,CORE_INCLUDE,True,False,,HIGH,False,"This is a core in-scope record. The organism is a cold-water glass sponge, the stressor is explicitly suspended sediment, and the response is a measured biological effect (feeding current arrests, a form of pumping/filtration impairment). The abstract directly reports in situ experimental evidence linking elevated SSCs to arrest behaviours. This meets all CORE_INCLUDE criteria. No transferability or citation-chain reasoning is needed.","Glass sponge Aphrocallistes vastus at Fraser Ridge sponge reef, Strait of Georgia, BC (cold-water/deep-sea sponge).","Suspended sediment concentrations (SSCs) increased by experimental disturbances, including levels 10-80 mg/l, compared to natural SSCs.","Feeding current arrests observed in situ: 23 arrests, single arrests lasting ~4.25 min, coughing arrests up to ~31 min; arrest onset correlated with elevated SSCs (r = -0.83 to -0.92).",,,NO,NOT_CONFIRMED,,CORE_INCLUDE,,ACCEPTED_AS_MODELLED,True,Accepted without change during completed human review.
PEV-016,CWC-9D88361B731D,"Metabolic responses of the deep-water sponge Geodia barretti to suspended bottom sediment, simulated mine tailings and drill cuttings",10.1016/j.jembe.2015.07.017,https://doi.org/10.1016/j.jembe.2015.07.017,CORE_INCLUDE,True,False,,HIGH,False,"The abstract explicitly describes experimental exposure of the deep-sea sponge Geodia barretti to suspended sediment-related stressors (crushed rock, natural sediment, mine tailings/drill cuttings context) and measures an eligible physiological response (oxygen consumption/respiration) including recovery and long-term effects. This directly satisfies all CORE include criteria: deep-sea/cold-water organism, explicit sediment exposure pathway, and quantitative biological response. The closest alternative would be CITATION_CHAIN_CANDIDATE if no response were reported, but responses are clearly present. Full text is not needed for classification.","Deep-sea/cold-water demosponge Geodia barretti, a common Northeast Atlantic sponge.","Suspended bottom sediment, simulated mine tailings, drill cuttings; specifically crushed rock particles and natural bottom sediments in laboratory exposures.",Measured oxygen consumption (respiration) and energy content: 4-h pulse at 500 mg/l crushed rock caused 50% drop in oxygen consumption with rapid recovery; 29-day cyclic exposure at 50 mg/l crushed rock caused permanent 60% drop in oxygen consumption with no effect on energy content; natural sediments had no effect.,,,NO,NOT_CONFIRMED,,CORE_INCLUDE,,ACCEPTED_AS_MODELLED,True,Accepted without change during completed human review.
PEV-023,CWC-620A6B01FCC6,Evidence for morphology-induced sediment settlement prevention on the tubular sponge Haliclona urceolus,10.1007/s00227-004-1429-0,https://doi.org/10.1007/s00227-004-1429-0,UNCERTAIN,False,False,U01_MISSING_ABSTRACT,LOW,True,"The title clearly identifies a sponge and a sediment-related interaction, but it does not establish whether Haliclona urceolus is deep-sea or cold-water, nor whether the study measures an eligible biological response or merely describes a morphological trait. Without an abstract, I cannot distinguish CORE_INCLUDE from CITATION_CHAIN_CANDIDATE or EXCLUDE. Therefore UNCERTAIN is appropriate; full text is needed.",The record concerns the sponge Haliclona urceolus; depth or thermal regime unspecified in title.,Sediment settlement is indicated as a stressor or exposure in the title ('sediment settlement prevention').,"The title suggests a morphological trait that prevents sediment settlement, but no measured biological response (e.g., clearance, survival) is stated.",,,NO,NOT_CONFIRMED,,UNCERTAIN,U01_MISSING_ABSTRACT,ACCEPTED_AS_MODELLED,True,Accepted without change during completed human review.
PEV-025,CWC-F2591A201364,Sub-lethal effects of water-based drilling muds on the deep-water sponge Geodia barretti,10.1016/j.envpol.2016.02.047,https://doi.org/10.1016/j.envpol.2016.02.047,CORE_INCLUDE,True,False,,HIGH,False,"The title identifies a deep-water sponge, Geodia barretti, and explicitly evaluates sub-lethal effects of water-based drilling muds, constituting a sediment-related exposure pathway and biological response. This matches core include criteria: cold-water/deep-sea organism, explicit drilling-mud exposure, and measured sub-lethal effects. No abstract was available, but the title alone is sufficient to establish all required elements. The closest alternative would be citation-chain candidate, but because a response is present in the title, core include is preferred. No transferability basis needed as this is not a warm-water/transferable case.",Deep-water sponge Geodia barretti,Water-based drilling muds (explicit sediment-related exposure),Sub-lethal effects (title indicates biological response),,,NO,NOT_CONFIRMED,,CORE_INCLUDE,,ACCEPTED_AS_MODELLED,True,Accepted without change during completed human review.
PEV-026,CWC-6504F386F1B3,Impact of the <i>Deepwater Horizon</i> oil spill on a deep-water coral community in the Gulf of Mexico,10.1073/pnas.1118029109,https://doi.org/10.1073/pnas.1118029109,CORE_INCLUDE,True,False,,HIGH,False,"The abstract describes a deep-water coral community exposed to flocculent particulate material (floc) at a site near the Macondo well. This is a particulate deposition pathway, not merely oil or chemical exposure. The observed biological responses—tissue loss, sclerite enlargement, excess mucus production, and quantitative impact ranking—are explicit organism-level effects. Thus, the study meets the core inclusion criteria for sediment/particulate-related biological responses in deep-sea corals. The alternative of excluding due to oil focus is not supported because the particulate pathway is explicit and directly measured.",deep-water coral community in the Gulf of Mexico; 43 corals imaged at an impacted site,brown flocculent material (floc) containing Macondo oil covering corals; explicit particulate deposition pathway,"tissue loss, sclerite enlargement, excess mucous production, covering by floc, ranked colony impact; 46% of colonies impacted on >50% of colony",,,NO,NOT_CONFIRMED,,CORE_INCLUDE,,ACCEPTED_AS_MODELLED,True,Accepted without change during completed human review.
PEV-030,CWC-9BFC61A48726,Monitoring strategies for drill cutting discharge in the vicinity of cold-water coral ecosystems,10.1016/j.marpolbul.2012.08.003,https://doi.org/10.1016/j.marpolbul.2012.08.003,CITATION_CHAIN_CANDIDATE,False,False,C02_REVIEW_OR_MONITORING_LEAD,HIGH,True,"The record is a substantive deep-sea cold-water coral source focused on drill cutting discharge and monitoring. It does not report an eligible biological response; it discusses strategies and highlights research questions. Thus it is not CORE_INCLUDE. As a monitoring-focused paper with direct sediment/drilling relevance, its reference list is likely to contain in-scope response studies, making it a CITATION_CHAIN_CANDIDATE. The closest alternative, CORE_INCLUDE, is inappropriate because no response is described. EXCLUDE is inappropriate because the source is directly relevant. Confidence is HIGH because the abstract clearly indicates a deep/cold sediment-focused monitoring viewpoint without an observed response.","Cold-water coral; specifically Lophelia pertusa, a key reef species on the Norwegian margin.",Drill cutting discharge from offshore drilling operations; waste materials produced during drilling.,None reported in the abstract; mentions recent in situ and experimental research with Lophelia pertusa but does not describe specific biological outcomes.,,"Substantive viewpoint paper on monitoring strategies for drill cutting discharge near cold-water coral reefs; direct focus on sediment/drilling impacts; likely cites experimental and in situ studies documenting coral responses, useful for backward/forward citation mining.",NO,NOT_CONFIRMED,,CITATION_CHAIN_CANDIDATE,C02_REVIEW_OR_MONITORING_LEAD,ACCEPTED_AS_MODELLED,True,Accepted without change during completed human review.
