calibration_record_id,corpus_id,decision,reason_code,organism_evidence,stressor_evidence,response_evidence,transferability_basis,screening_source,confidence,needs_full_text,rationale,attempts,request_sha256,response_sha256
PEV-001,CWC-76DBA2881C9F,CORE_INCLUDE,,Cold-water soft corals Duva florida and Primnoa resedaeformis,Anthropogenic sedimentation from mine tailings and particle shape (sharp vs smooth),"Food intake, behavior (contraction), polyp loss, particle embedding in tissue",,TITLE_ABSTRACT,HIGH,False,"Explicit cold-water corals, mine tailing sedimentation, and multiple physiological/behavioral responses measured experimentally.",1,0fa56668a2bf153eb21184a6506ed33d1e83aab37e45098c8a7b62448c3c8d3c,73008d82d30dc30443177f45caf62f19dd601dc4af1ec0e7e2c9269fc57a7dd6
PEV-002,CWC-EB4D858B73AC,EXCLUDE,X03_STRESSOR_OUT_OF_SCOPE,Coral morphology detection in underwater imagery,"Turbid underwater conditions mentioned as image distortion, not sediment exposure","Object detection accuracy (precision, recall, mAP)",,TITLE_ABSTRACT,HIGH,False,"The study focuses on computer vision for coral detection, not on sediment effects. Turbidity is only an image quality issue, not an explicit sediment stressor. No eligible biological response to sediment is assessed.",1,8ac0e2263af3074df8070c9ad916fbfac3ca8df74a082d92fce75768286c2776,3634664182d70b006a8d7ec7d8cdae2138c221d65e74b848e0e6e16ffb90f0b1
PEV-003,CWC-D9FA66DE2FA6,TRANSFERABLE_MECHANISM,,coral reefs in the South China Sea,sedimentation from dredging activities,"damage to coral reefs, influence on reef productivity","Explicit sediment-related exposure (dredging sedimentation) and biological impact (reef damage, productivity) on corals, providing a broadly applicable impact pattern.",TITLE_ABSTRACT,MEDIUM,False,"Tropical coral reef damage from dredging sedimentation is explicit, but no cold-water context; transferable mechanism for sediment impacts on corals.",1,4e1dea39e669821944a07e670b2af6dadeb50baaabda872a6d7b3d06eebe66dd,1d6c9d592f77558730fecddda3fea30c13818f55a33d184bcba59243d2e8f91b
PEV-004,CWC-C69AD807E3BA,CORE_INCLUDE,,Cold-water coral Lophelia pertusa,Suspended benthic sediments and drill cuttings,"Skeletal growth, polyp extension, respiration, tissue and fatty acids, mucus release, larval vulnerability",,TITLE_ABSTRACT,HIGH,False,"Explicit cold-water coral, sediment and drill cuttings exposure, and multiple eligible responses (growth, behavior, physiology) are reported. Core evidence.",1,07dc4a58488aa49c64262350afd72ab3fc83a1ef951086690695495556c923f8,9483128d879834ab8bda789a841de91ef7844230a6b29b11cc5097f1cf86fd09
PEV-005,CWC-66237F4DDA16,CORE_INCLUDE,,"Deep-water sponge Geodia barretti (Demospongiae) in Barents Sea, Norway.","Suspended sediments from bottom trawling, concentrations 0-500 mg/l.","Respiration rates measured before, during, after exposure; 86% reduction at 100 mg/l, thresholds 10-50 mg/l, rapid recovery.",,TITLE_ABSTRACT,HIGH,False,"Explicit deep-water sponge, suspended sediment exposure, and respiratory response with thresholds and recovery. Core evidence for sediment effects on cold-water sponges.",1,6834558dbf705058aa6fedf583f67d38e7703c5117e58570783bb1e4bbb0128b,98fbf00a64d49747b7b07ad450c1a7974ea6fddcfaedbb8b8a30b174e48ea59c
PEV-006,CWC-6A83F026EEB4,TRANSFERABLE_MECHANISM,,Coral reef sponge Rhopaloeides odorabile,"Suspended sediments, clay and carbonate sediments",Increased respiration (metabolic demand) up to 40%,"Explicit sediment exposure and physiological response (respiration) in a sponge, providing a broadly applicable mechanism for sediment impacts on sponge physiology.",TITLE_ABSTRACT,HIGH,False,"Tropical sponge study with explicit suspended sediment exposure and measured respiratory response, providing transferable physiological mechanism for sediment effects on sponges.",1,3ce2e52d86d29b9ed2e91d027af2ba144f9e02c304514b3e699f08d9b84c7e1a,6ceddbb6621667628489f263c076a5ceaddd0d34734d4f21de8827adb1b3fee3
PEV-007,CWC-908DE8E1A7FD,CORE_INCLUDE,,Lophelia pertusa coral reefs in Norwegian Sea,"Drilling mud, barite, barium, sediment dispersion from hydrocarbon exploration drilling","Stress on coral reefs, barite crystals trapped in coral polyps, ecological effects assessed",,TITLE_ABSTRACT,HIGH,False,"Explicit cold-water coral (Lophelia pertusa) with drilling mud/sediment exposure and assessment of ecological effects, including stress and polyp trapping, meeting core criteria.",1,3392859d5fec50567874e8ad1152adbc90bb9666b9965e47694eda1954cd347f,680cbf6225add368481fe711f0801eb14f7ec7c60e75fe2e9377d77ff29a076a
PEV-008,CWC-D97220223ADA,EXCLUDE,X02_TROPICAL_NO_TRANSFER,"Coral community at La Boquita reef, Mexican Pacific Coast (tropical).","Terrestrial runoff, sedimentation, turbidity, nutrients.","Coral coverage loss (17%), general deterioration, chronic stress.",,TITLE_ABSTRACT,HIGH,False,Tropical coral study; no explicit sediment-specific response or mechanism beyond general stress; no transferable pattern.,1,1ef4b07ddcbb1a142f1ab5917431338da8a62fd17bf9ea741fafac06f37271f1,9fa85b157798d47f58b25c80f83bf0cc7b12fc8ef976636d3023b49f7c80ba39
PEV-009,CWC-1E8A06594C30,TRANSFERABLE_MECHANISM,,"Sponges (10 species, four morphologies: massive, erect, cup, encrusting)","Dredging-related sedimentation; sediment pulse exposure (0, 250, 500 mg/L); TSS and sedimentation rates recorded","Mortality, tissue necrosis, no change in pigments or microbial community","Explicit sediment exposure and sponge responses (mortality, necrosis) provide a broadly applicable pattern for sediment effects on sponge morphology and survival.",TITLE_ABSTRACT,HIGH,False,"Sponge study with explicit dredging-related sediment exposure and responses (mortality, necrosis). Not core because setting not specified as cold/deep/temperate; transferable mechanism for sediment effects on sponge morphology.",1,608d48cecd5e9ad66f0bee3ddf2b6790b0a917cee3d5f7cb66db6afdbca106cf,132904851e7777278b594576081af92581a391f506e41d7f623b74d37dd0884c
PEV-010,CWC-EB1347CE427C,EXCLUDE,X01_ORGANISM_OUT_OF_SCOPE,Scleractinian reef corals from Lower Tortonian (fossil) deposits,"Sedimentological characteristics mentioned in title, but no explicit sediment stressor pathway",No biological response to sediment reported,,TITLE_ONLY,HIGH,False,"Title indicates palaeoecological and sedimentological study of fossil reef corals; no explicit sediment stressor or biological response, and fossil context is out of scope.",1,6fcbed6c5fa41b4ce35dba9dfe6b2365fe6c593d9600c7ddf6a654e7626273ef,cf7029a135a9abe4ac38d05eb345dba4f83c5d7a26e9929e8f7f73ecfec9a6d5
