query_id,family,source,date_searched,paper_id,corpus_id,title,authors,year,publication_date,venue,publication_types,doi,arxiv_id,pubmed_id,url,is_open_access,open_access_pdf_url,citation_count,reference_count,influential_citation_count,fields_of_study,s2_fields_of_study,abstract
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,0115caccec7dbe05f8da308d0facb065dcd3426c,4051505,Effects of suspended drill cuttings on the coral Lophelia pertusa using pulsed and continuous exposure scenarios,T. Baussant; Marianne Nilsen; E. Ravagnan; S. Westerlund; Sreerekha S. Ramanand,2018,2018-03-14,"Journal of Toxicology and Environmental Health, Part A",JournalArticle,10.1080/15287394.2018.1444375,,29537937,https://www.semanticscholar.org/paper/0115caccec7dbe05f8da308d0facb065dcd3426c,True,https://figshare.com/articles/journal_contribution/Effects_of_suspended_drill_cuttings_on_the_coral_i_Lophelia_pertusa_i_using_pulsed_and_continuous_exposure_scenarios/5984998,17,61,2,Medicine; Chemistry,Medicine; Chemistry; Environmental Science,"ABSTRACT This study aimed at providing confidence in the predictability of the impacts of drill cuttings (DC) discharge on the cold-water coral Lophelia pertusa. L. pertusa was exposed to DC from offshore exploration in the lab with the goal to assess precautionary thresholds of effects. Two exposure scenarios with DC were tested: a long-term (LT) pulsed exposure (12 weeks, peak concentrations: 2–50 mg/L, mean concentrations: 1–25 mg/L) and a short-term (ST) continuous exposure (2.5 weeks, mean concentrations: 4–42 mg/L). After exposure, a recovery period of 16 and 4 weeks was maintained in LT and ST, respectively. While there was an assumption that DC might result in an increase in respiration, decrease in growth, enhanced mucus production, reduced fatty acid content, only a significant rise was noted in skeleton growth at DC 4 mg/L and a significant increase of mucus particulate organic carbon at 25 mg/L at end of the exposure. DC did not markedly reduce prey capture rate consecutive to DC exposure. However, the effect of DC produced an increase of coral polyp activity during exposure and a return to pre-exposure conditions after cessation of DC, and coenosarc was smothered from DC even after a long recovery period (4 weeks). Overall, a DC concentration of 10 mg/L seems to represent a threshold above which changes in coral conditions were observed however with no apparent physiological consequences for the coral within the experimental time scale."
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,06202e2eeba274f728b4a04b5002b497b182bd86,82491395,Sublethal metabolic responses of the hermatypic coral Madracis decactis exposed to drilling mud enriched with ferrochrome lignosulfonate,Krone; D. Biggs,1981,1981-06-01,,,,,,https://www.semanticscholar.org/paper/06202e2eeba274f728b4a04b5002b497b182bd86,False,,13,0,0,Biology,Biology; Environmental Science,
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,0c0669422621731411fbbed1301c305ccfa5fdec,84979938,The effects of drilling muds on marine invertebrate larvae and adults,P. Raimondi; Arthur M. Barnett; P. Krause,1997,1997-06-01,,,10.1002/etc.5620160617,,,https://www.semanticscholar.org/paper/0c0669422621731411fbbed1301c305ccfa5fdec,False,,29,46,1,Biology,Biology; Environmental Science,
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,0c088a422f03aec35205543888ee633a873074c0,43793529,The importance of monitoring metabolic recovery in the coral Acropora cervicornis after short-term exposure to drilling muds: Calcification rate and protein concentration,J. Kendall; E. Powell; S. J. Connor; T. J. Bright; C. Zastrow,1984,1984-04-01,Coral reefs,,10.1007/BF00263575,,,https://www.semanticscholar.org/paper/0c088a422f03aec35205543888ee633a873074c0,False,,2,59,1,Biology,Biology; Environmental Science,
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,0d5a994a1e7625edb38fe0f88d3e850cab69a2cd,208805127,Abstract: Impact of Offshore Exploratory Drilling: Is it Significant? You Be the Judge,E. Shinn; B. Lidz; C. Reich,1994,1994-09-01,,,,,,https://www.semanticscholar.org/paper/0d5a994a1e7625edb38fe0f88d3e850cab69a2cd,False,,0,0,0,Geology; Engineering,Geology; Engineering; Environmental Science; Geology,
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,0d5b0f8686c08c61c3bb49660039293479b332ba,84206954,Recovery by the coralAcropora cervicornis after drilling mud exposure. The free amino acid pool,E. Powell; S. J. Connor; J. Kendall; C. Zastrow; T. J. Bright,1984,1984-03-01,,,10.1007/BF01055883,,,https://www.semanticscholar.org/paper/0d5b0f8686c08c61c3bb49660039293479b332ba,False,,9,41,0,Biology,Biology; Environmental Science,
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,0dcd5a26f8d01440cf79e51fbcc19eeadc7a7c51,140540694,EFFECTS OF DRILL MUD ON SEDIMENT CLEARING RATES OF CERTAIN HERMATYPIC CORALS,Jack H. Thompson; T. J. Bright,1977,1977-03-01,,,10.7901/2169-3358-1977-1-495,,,https://www.semanticscholar.org/paper/0dcd5a26f8d01440cf79e51fbcc19eeadc7a7c51,True,https://doi.org/10.7901/2169-3358-1977-1-495,13,0,0,Geology,Geology; Environmental Science,
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,102c67af7aa21090c040896a70c6a7b004b96f1e,130574268,"Karst Recognition & Reservoir Impact, Yadana Field, Offshore Myanmar",P. Lapointe; J. Hurst; A. Saller; U. Nyein; U. Oo; U. Tun,1996,,,,,,,https://www.semanticscholar.org/paper/102c67af7aa21090c040896a70c6a7b004b96f1e,False,,1,0,1,Geology,Geology; Geology; Environmental Science,
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,145ed95e10eab7a2c6c8c228581e088eeb55a16b,82361855,Chapter 16 Effects of Drilling Mud on Seven Species of Reef-Building Corals as Measured in the Field and Laboratory*,Jack H. Thompson; E. Shinn; T. J. Bright,1980,,,,10.1016/S0422-9894(08)71393-X,,,https://www.semanticscholar.org/paper/145ed95e10eab7a2c6c8c228581e088eeb55a16b,False,,19,0,0,Biology,Biology; Environmental Science,
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,19881bab061aece3d8a0ed467b63905b5c97d113,20011474,Resistance of Lophelia pertusa to coverage by sediment and petroleum drill cuttings.,Elke Allers; R. Abed; L. Wehrmann; Tao Wang; A. Larsson; A. Purser; D. de Beer,2013,2013-09-15,Marine Pollution Bulletin,JournalArticle,10.1016/j.marpolbul.2013.07.016,,23915980,https://www.semanticscholar.org/paper/19881bab061aece3d8a0ed467b63905b5c97d113,False,,35,63,4,Geology; Medicine,Geology; Medicine; Environmental Science,
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,1b8244cb9598112147115149e0218e574c508759,184508143,The Impact of Anthropogenic Activity on Cold-Water Corals,S. Ragnarsson; J. Burgos; T. Kutti; I. V. D. Beld; H. Egilsdottir; S. Arnaud-Haond; A. Grehan,2016,,,,10.1007/978-3-319-17001-5_27-1,,,https://www.semanticscholar.org/paper/1b8244cb9598112147115149e0218e574c508759,True,https://link.springer.com/content/pdf/10.1007%2F978-3-319-17001-5_27-1.pdf,40,95,0,,Environmental Science,
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,233679051e44c707ec1d6a131e7dfc1e002a89c8,13385708,Effect of eight outer continental shelf drilling muds on the calcification rate and free amino acid pool of the coralAcropora cervicornis,E. Powell; J. Kendall; S. J. Connor; C. Zastrow; T. J. Bright,1984,1984-09-01,Bulletin of Environmental Contamination and Toxicology,JournalArticle,10.1007/BF01625556,,6148112,https://www.semanticscholar.org/paper/233679051e44c707ec1d6a131e7dfc1e002a89c8,False,,2,9,0,Biology; Medicine,Biology; Medicine; Environmental Science,
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,25094f6e504ce6007970e8c86ac294a2bd3e6d9d,134223769,Application of the zero-discharge method in managing wastes of drilling operations: A case study of Kish Island gas field,S. S. Mousavi; S. N. A. A. Bakhtyarvand; F. Farokhiyan,2013,,,,,,,https://www.semanticscholar.org/paper/25094f6e504ce6007970e8c86ac294a2bd3e6d9d,False,,0,12,0,Environmental Science,Environmental Science; Environmental Science; Engineering,
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,25784df691a4f3f9aa4349592475bb5f86c31879,134603512,Long-term Monitoring of the East and West Flower Garden Banks,S. Gittings; P. Deslarzes; D. Hagman; B. Holland,1992,,,Review,,,,https://www.semanticscholar.org/paper/25784df691a4f3f9aa4349592475bb5f86c31879,False,,21,122,2,Geography,Geography; Environmental Science,
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,29541d4ff38f007e181fa86191c3ff89155832dd,85927279,"Experimental Effects of Sediment Burial and Light Attenuation on Two Coralline Algae of a Deep Water Rhodolith Bed in Rio de Janeiro, Brazil",A. Villas‐Boas; F. Tâmega; Maurício Andrade; R. Coutinho; M. Figueiredo,2014,2014-03-17,,,10.7872/crya.v35.iss1.2014.67,,,https://www.semanticscholar.org/paper/29541d4ff38f007e181fa86191c3ff89155832dd,False,,43,27,1,Biology,Biology; Environmental Science,
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,29a16808c547bb54b968e97e3e6053159d51fcb9,131574167,"230Th/234U and 14C dating of a lowstand coral reef beneath the insular shelf off Irabu Island, Ryukyus, southwestern Japan",K. Sasaki; A. Omura; T. Miwa; Y. Tsuji; H. Matsuda; T. Nakamori; Y. Iryu; Tsutomu Yamada; Y. Sato; H. Nakagawa,2006,2006-12-01,,,10.1111/j.1440-1738.2006.00541.x,,,https://www.semanticscholar.org/paper/29a16808c547bb54b968e97e3e6053159d51fcb9,False,,23,42,0,Geology,Geology; Geology; Environmental Science,
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,2a8a072928d2fe0231617b54c5e1b384ff17a591,128612644,UK Atlantic Margin Environmental Survey: Introduction and overview of bathyal benthic ecology,B. Bett,2001,2001-05-01,,Review,10.1016/S0278-4343(00)00119-9,,,https://www.semanticscholar.org/paper/2a8a072928d2fe0231617b54c5e1b384ff17a591,False,,182,64,27,Geology,Geology; Environmental Science,
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,2ac9cf884fa3cafbbd65adb45448622b60c192b2,86096394,Effect of well-drilling fluids on the physiological status and microbial infection of the reef building coralMontastrea annularis,J. Parker; J. Nickels; R. F. Martz; M. J. Gehron; N. Richards; D. White,1984,,,,10.1007/BF01055653,,,https://www.semanticscholar.org/paper/2ac9cf884fa3cafbbd65adb45448622b60c192b2,False,,8,24,0,Biology,Biology; Environmental Science; Biology,
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,2aca09ddcb7271eb9f45edffb592cbdf58599e17,41820201,"The occurrence of the cold-water coral Lophelia pertusa (Scleractinia) on oil and gas platforms in the North Sea: colony growth, recruitment and environmental controls on distribution.",S. Gass; J. Roberts,2006,2006-05-01,Marine Pollution Bulletin,JournalArticle; Study,10.1016/J.MARPOLBUL.2005.10.002,,16300800,https://www.semanticscholar.org/paper/2aca09ddcb7271eb9f45edffb592cbdf58599e17,False,,183,39,14,Biology; Medicine,Biology; Medicine; Environmental Science,
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,2cb8634af402ed4018f897a1bbdfce4bb7dcbfe4,22585080,Real time observation system for monitoring environmental impact on marine ecosystems from oil drilling operations.,O. Godø; J. Klungsøyr; S. Meier; E. Tenningen; A. Purser; L. Thomsen,2014,2014-07-15,Marine Pollution Bulletin,JournalArticle,10.1016/j.marpolbul.2014.05.007,,24908516,https://www.semanticscholar.org/paper/2cb8634af402ed4018f897a1bbdfce4bb7dcbfe4,False,,16,49,0,Environmental Science; Medicine,Environmental Science; Medicine; Environmental Science; Engineering,
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,33f1b71fc362d3b856f639f5d605805ed2fa3669,32478947,An evaluation of coral lophelia pertusa mucus as an analytical matrix for environmental monitoring: A preliminary proteomic study,F. Provan; Marianne Nilsen; E. Larssen; K. Uleberg; M. Sydnes; E. Lyng; K. B. Øysæd; T. Baussant,2016,2016-08-02,"Journal of Toxicology and Environmental Health, Part A",JournalArticle,10.1080/15287394.2016.1210494,,27484144,https://www.semanticscholar.org/paper/33f1b71fc362d3b856f639f5d605805ed2fa3669,False,,10,51,0,Biology; Medicine,Biology; Medicine; Biology; Environmental Science,
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,354b1d04a5f8cb0e23f7af11a8e6e4ba4df3426e,206772849,Tolerance to long-term exposure of suspended benthic sediments and drill cuttings in the cold-water coral Lophelia pertusa.,A. Larsson; D. van Oevelen; A. Purser; L. Thomsen,2013,2013-05-15,Marine Pollution Bulletin,JournalArticle,10.1016/j.marpolbul.2013.02.033,,23510599,https://www.semanticscholar.org/paper/354b1d04a5f8cb0e23f7af11a8e6e4ba4df3426e,False,,95,73,13,Geology; Medicine,Geology; Medicine; Environmental Science,
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,3875f477905152b90bdf0cc096ebd2a72a332791,133614829,Environmental Implication of Dumping Waste on Marine Ecosystem,Y. Dhahiyat,2016,2016-03-31,,,,,,https://www.semanticscholar.org/paper/3875f477905152b90bdf0cc096ebd2a72a332791,False,,0,2,0,Environmental Science,Environmental Science; Environmental Science,
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,39f3cfddf25a5f5cc4ff4169f885724a131ff035,25908694,"Historical trace element accumulation in marine sediments from the Tamaulipas shelf, Gulf of Mexico: An assessment of natural vs anthropogenic inputs.",Omar Celis-Hernández; L. Rosales-Hoz; A. Cundy; A. Carranza-Edwards; I. Croudace; H. Hernández-Hernández,2018,2018-05-01,Science of the Total Environment,JournalArticle,10.1016/j.scitotenv.2017.11.228,,29220760,https://www.semanticscholar.org/paper/39f3cfddf25a5f5cc4ff4169f885724a131ff035,True,https://eprints.soton.ac.uk/416458/1/Celis_et_al_2018.docx,40,58,1,Environmental Science; Medicine,Environmental Science; Medicine; Environmental Science; Geology,
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,3a46e560e03b3a418909cdd801ab977c7ba302c5,84516063,"Historical incorporation of barium in the reef building coral Montastrea annularis at the Flower Garden Banks, north-west Gulf of Mexico",K. Deslarzes; P. Boothe; B. J. Presley; Gary L. Steinmentz,1995,1995-11-01,,,10.1016/0025-326X(95)00056-S,,,https://www.semanticscholar.org/paper/3a46e560e03b3a418909cdd801ab977c7ba302c5,False,,12,13,0,Geography,Geography; Environmental Science; Geology; History,
SS_SED_DRILLING_01,SED_DRILLING,Semantic Scholar Academic Graph API,2026-08-13,3bff29b422186fd1ba3a924e57ff8bc6286a9ccf,249337174,Cenozoic of and Drilling-Mud a New Technique for Uranium,,2006,,,,,,,https://www.semanticscholar.org/paper/3bff29b422186fd1ba3a924e57ff8bc6286a9ccf,False,,0,0,0,,Geology; Environmental Science; Engineering,
