validation_record_id,corpus_id,title,selection_stratum,model_category,final_category,changed,reviewer_note,adjudication_date
V6V-005,CWC-0283CF0F29D5,"Habitat utilization, demography, and behavioral observations of the squat lobster, Eumunida picta (Crustacea: Anomura: Eumunididae), on western North Atlantic deep-water coral habitats",DEEPCOLD_RESPONSE,EXCLUDE,EXCLUDE,False,nothing to do with impcats ,2026-08-17
V6V-010,CWC-052940936060,Biodiversity and community composition of sediment macrofauna associated with deep-sea Lophelia pertusa habitats in the Gulf of Mexico,DEEPCOLD_CONTEXT_OR_CITATION,CITATION_CHAIN_CANDIDATE,EXCLUDE,True,,2026-08-17
V6V-012,CWC-FA6A2B921E3D,"Near-bed particle deposition and resuspension in a cold-water coral mound area at the Southwest Rockall Trough margin, NE Atlantic",DEEPCOLD_CONTEXT_OR_CITATION,CITATION_CHAIN_CANDIDATE,EXCLUDE,True,,2026-08-17
V6V-016,CWC-DE28CCA01688,Reefal coralline algal build-ups within the Arctic Circle: morphology and sedimentary dynamics under extreme environmental seasonality,DEEPCOLD_RESPONSE,EXCLUDE,EXCLUDE,False,,2026-08-17
V6V-022,CWC-3FF748AC3C6B,SOLITARY CORAL GROWTH FORMS AND DISTRIBUTION PATTERNS AS INDEX OF SEDIMENT-ACCUMULATION RATES,AMBIGUOUS_TITLE_ONLY,UNCERTAIN,EXCLUDE,True,,2026-08-17
V6V-028,CWC-ECD90E3C96E1,A new laboratory method for monitoring deep-water coral polyp behaviour,DEEPCOLD_RESPONSE,CITATION_CHAIN_CANDIDATE,EXCLUDE,True,,2026-08-17
V6V-030,CWC-074B411D14C5,"The Dangeard and Explorer canyons, South Western Approaches UK: Geology, sedimentology and newly discovered cold-water coral mini-mounds",DEEPCOLD_RESPONSE,CITATION_CHAIN_CANDIDATE,EXCLUDE,True,,2026-08-17
V6V-034,CWC-5B4499AD4C1C,"Sedimentary processes and cold-water coral mini-mounds at the Ferrol canyon head, NW Iberian margin",DEEPCOLD_RESPONSE,CITATION_CHAIN_CANDIDATE,EXCLUDE,True,,2026-08-17
V6V-039,CWC-543E1FDEF0FC,Unravelling the enigma of discontinuous sedimentary deposits in cold-water coral mounds in the Atlantic Ocean,DEEPCOLD_RESPONSE,CITATION_CHAIN_CANDIDATE,EXCLUDE,True,,2026-08-17
V6V-040,CWC-00D54340DAEA,"The sediment composition and predictive mapping of facies on the Propeller Mound—A cold-water coral mound (Porcupine Seabight, NE Atlantic)",DEEPCOLD_CONTEXT_OR_CITATION,CITATION_CHAIN_CANDIDATE,EXCLUDE,True,,2026-08-17
V6V-045,CWC-210C328FBCBB,The 2.6 Ma depositional sequence from the Challenger cold-water coral carbonate mound (IODP Exp. 307): a unique palaeo-record of Plio-Pleistocene NE Atlantic climate variability,DEEPCOLD_RESPONSE,CITATION_CHAIN_CANDIDATE,EXCLUDE,True,,2026-08-17
V6V-046,CWC-46C0E98BA4FE,The 2.6 Ma depositional sequence from the Challenger cold-water coral carbonate mound (IODP Exp. 307): Sediment contributors and hydrodynamic palaeo-environments,DEEPCOLD_RESPONSE,CITATION_CHAIN_CANDIDATE,EXCLUDE,True,,2026-08-17
V6V-049,CWC-17DD3B7BCE9D,Control of Deep Currents on Sediment and Cold-Water Coral Distribution on the Northern Manihiki Plateau,DEEPCOLD_CONTEXT_OR_CITATION,CITATION_CHAIN_CANDIDATE,EXCLUDE,True,,2026-08-17
V6V-052,CWC-4FA30D292001,"The Importance of Ecological Accommodation Space and Sediment Supply for Cold-Water Coral Mound Formation, a Case Study From the Western Mediterranean Sea",DEEPCOLD_RESPONSE,CITATION_CHAIN_CANDIDATE,EXCLUDE,True,,2026-08-17
V6V-054,CWC-5A06A3A51CB3,The influence of different deep-sea coral habitats on sediment macrofaunal community structure and function,DEEPCOLD_CONTEXT_OR_CITATION,CITATION_CHAIN_CANDIDATE,EXCLUDE,True,,2026-08-17
V6V-055,CWC-7398D80B9FD9,Chapter 18 Drilling Mud Plumes From Offshore Drilling Operations: Implications for Coral Survival,AMBIGUOUS_TITLE_ONLY,UNCERTAIN,EXCLUDE,True,,2026-08-17
V6V-058,CWC-3A2EA7B59FD6,Stable Isotope composition of particulate organic matter and fauna in a deep Mediterranean cold-water coral bank,DEEPCOLD_RESPONSE,EXCLUDE,EXCLUDE,False,,2026-08-17
V6V-060,CWC-CBED2EBBD4BB,Discovery of a giant cold-water coral mound province along the northern Argentine margin and its link to the regional Contourite Depositional System and oceanographic setting,DEEPCOLD_RESPONSE,CITATION_CHAIN_CANDIDATE,EXCLUDE,True,,2026-08-17
V6V-062,CWC-BA4201820CB9,Polyp loss and mass occurrence of sea urchins on bamboo corals in the deep sea: an indirect effect of fishing impact?,DEEPCOLD_RESPONSE,EXCLUDE,EXCLUDE,False,,2026-08-17
V6V-072,CWC-B1DE4BEDAD33,Microhabitat type determines the composition of nematode communities associated with sediment-clogged cold-water coral framework in the Porcupine Seabight (NE Atlantic),DEEPCOLD_RESPONSE,CITATION_CHAIN_CANDIDATE,EXCLUDE,True,,2026-08-17
V6V-078,CWC-F020341AAC3E,Will Drill Cuttings and Drill Mud Harm Cold Water Corals?,DEEPCOLD_RESPONSE,CITATION_CHAIN_CANDIDATE,CITATION_CHAIN_CANDIDATE,False,,2026-08-17
