calibration_record_id,corpus_id,decision,reason_code,organism_evidence,stressor_evidence,response_evidence,transferability_basis,citation_chain_basis,screening_source,confidence,needs_full_text,rationale,attempts,request_sha256,response_sha256
V6V-001,CWC-0665FDF2B935,EXCLUDE,X05_RESPONSE_OUT_OF_SCOPE,Cold-water coral community (mixed) on Atlantic mid-bathyal coarse sediment.,"No explicit sediment-related exposure or pathway; 'coarse sediment' is described as a physical habitat, not a stressor.",No biological response reported; habitat classification only.,,,TITLE_ABSTRACT,HIGH,False,"The record is a habitat-classification entry describing a mixed cold-water coral community on coarse sediment. It does not report any sediment-related exposure (e.g., deposition, turbidity, burial) or biological response. Use of 'coarse sediment' refers to habitat substrate, not a stressor. Therefore CORE_INCLUDE is not supported. CITATION_CHAIN_CANDIDATE is also inappropriate because this is a descriptive classification page without a direct sediment-impact or monitoring focus that would justify reference mining. Thus EXCLUDE with X05_RESPONSE_OUT_OF_SCOPE is the correct decision.",1,40cc81fca87e4f0b0b22c64a9c7c7d8b7efee060a5bbb8ed207eb13a0f98171c,2022dd4095dd15a832e23ab93a0ed7654ebeb8aaae79ef80328a76f4a9318596
V6V-002,CWC-F5FD6B84111D,EXCLUDE,X01_ORGANISM_OUT_OF_SCOPE,"Study organism is the sea cucumber Stichopus cf. monotuberculatus, not a coral or sponge.","Abstract mentions sediment turnover and defecation rates, but this is sea cucumber sediment processing, not a sediment stressor for corals or sponges.",No coral or sponge biological response to sediment is described.,,,TITLE_ABSTRACT,HIGH,False,"The record concerns a nocturnal sea cucumber on tropical coral reefs, not a deep-sea or cold-water coral or sponge. The sediment-related measurements are about the sea cucumber's own feeding/sediment turnover, not an exposure or response in target taxa. Therefore it is outside scope and not a credible citation-chain lead for cold-water coral/sponge sediment impacts.",1,db8ba76912e9f376a678a5e3a967edd8ec277c25c0e6cb5546565e1ef37736e3,cf3297b17ad31be5f4bda9d2801f01044777c63887b739618248322b081c24d8
V6V-003,CWC-E08D971221F6,EXCLUDE,X02_TROPICAL_NOT_CLOSELY_TRANSFERABLE,"Massive Porites corals from a tropical reef at Lihir Island, Papua New Guinea.",Mine-related turbidity and sediment stress.,"Coral tissue thickness variations, including a 20% drop after full moon and inconsistent relationship with turbidity zones.",,,TITLE_ABSTRACT,HIGH,False,"The study explicitly focuses on tropical massive Porites corals in Papua New Guinea, a warm-water reef environment. The scope rules require that warm-water/tropical studies default to EXCLUDE unless they meet the exceptional TRANSFERABLE_MECHANISM criteria, which require cold/temperate non-tropical organisms and explicit close comparability to deep-sea/cold-water taxa. This abstract does not support such comparability; it is a tropical coral turbidity response study. There is no evidence that the mechanisms transfer to cold-water/deep-sea corals or sponges. Therefore, the appropriate decision is EXCLUDE with reason code X02_TROPICAL_NOT_CLOSELY_TRANSFERABLE.",1,9441eed50616303150f2ceb3cfdf74d61ea9562975e9634fcb93f4fb91539842,74c213eee0952037627482c06e003070b87d24de0ed8261f847dda9b8f8f3dd9
V6V-004,CWC-F4145597F5EA,CORE_INCLUDE,,Deep-sea solitary cup coral Flabellum (Ulocyathus) alabastrum,"Barite and bentonite sedimentation from drill mud additions over 10 days, targeting total sedimentation depth of 6.3 mm","Polyp expansion behaviour (swelling), mucus production, and cnidocyte/nematocyte density; recovery to baseline during a 10-day recovery period",,,TITLE_ABSTRACT,HIGH,False,"The record directly concerns a deep-sea coral species, explicitly evaluates sedimentation from barite and bentonite (drill mud ingredients) as the stressor, and reports measured biological responses including behaviour, mucus production, and cnidocyte density, plus recovery. This meets all core criteria: organism is a deep-sea coral, exposure is sediment-related, and responses are observed/measured. No alternative category is needed.",1,08e58c5da42e8a8e17734c3c114baf9850d68ef171d823bffec4d6fe1f0a729b,da9a0f48f27a7f432bd39611b4b61d0fe9e79637f69bea0a2451462d4c5cd1b9
V6V-005,CWC-0283CF0F29D5,EXCLUDE,X01_ORGANISM_OUT_OF_SCOPE,"The study focuses on the squat lobster Eumunida picta, a crustacean, not on corals or sponges. Deep-sea coral habitats (Lophelia pertusa) are mentioned as habitat context, but the target organism of the study is the lobster.","No sediment-related stressor or pathway is mentioned. The study examines habitat use, demography, and behavior in coral habitats, with no sediment exposure, burial, turbidity, or similar.","No biological response of corals or sponges to sediment is measured or described. The responses reported are those of the squat lobster (abundance, distribution, behavior), which are out of scope.",,,TITLE_ABSTRACT,HIGH,False,"The record concerns a squat lobster associated with deep-water coral habitats, not the corals or sponges themselves. The study focuses on the lobster's demography, behavior, and habitat use. There is no sediment stressor or biological response of corals/sponges to sediment. This is an organism out of scope, not a citation-chain lead because it lacks a sediment focus. Warm-water analogues are irrelevant. Thus, EXCLUDE with X01_ORGANISM_OUT_OF_SCOPE is appropriate.",1,f9caafa6e21195625af489485e28a76a572efab7f80b48439873dde16fb9634b,993ec5e1ef9527babec650860995a79713b6a8571a57827d77ce5ab9a79b8e1e
V6V-006,CWC-E3614FFFA1EE,EXCLUDE,X02_TROPICAL_NOT_CLOSELY_TRANSFERABLE,"Hard corals Acropora donei, A. millepora, A. muricata (Acropora sp.) in the Spermonde Islands, South Sulawesi, Indonesia; tropical reef corals.",Turbid waters; turbidity and total suspended solids measured as environmental parameters.,Measured growth rate and survival of coral fragments; regression analysis indicated turbidity did not significantly affect coral growth.,,,TITLE_ABSTRACT,HIGH,False,"The record reports growth and survival of tropical Acropora corals in Indonesian turbid waters. Although it includes a sediment-related exposure and biological responses, the organism is explicitly a warm-water tropical coral. The scope instructs that warm-water/tropical studies default to EXCLUDE and cannot qualify as transferable mechanisms based on trait or taxonomic similarity alone. No evidence suggests this is a cold/temperate or deep-sea coral study, and the environment is a tropical reef system. Therefore, it is excluded with X02_TROPICAL_NOT_CLOSELY_TRANSFERABLE.",1,6e0c7e0aca0ed25da57f98910792781ebe0fff4ef1386c368c2199c945e3f8c6,97f2cca670b681839469be136696f338aafeec15c9c697fcf5982bc9d9364bc9
V6V-007,CWC-28BEEE0E5914,CORE_INCLUDE,,"Cold-water scleractinian coral Lophelia pertusa, studied in situ on a reef off mid-Norway.",Exposure to drill cuttings discharged during drilling of a well; reef was down-current from discharge and exposed 11 times over 5 days 15 h (total 13 h 37 min).,"Polyp expansion state measured visually; no significant difference between exposed and unexposed corals, but behavior varied with current direction/velocity and position in colony; noted limited temporal scope.",,,TITLE_ABSTRACT,HIGH,False,"The record explicitly concerns a deep-sea/cold-water coral (Lophelia pertusa) exposed to drill cuttings (sediment-related stressor) and reports measured polyp behavior/expansion state, an eligible biological response. The in situ monitoring design directly evaluates exposure-response relationships, even though the result was largely non-significant for exposure. Thus all core criteria are met: organism in scope, explicit sediment pathway, and trait/response assessed. No transferability reasoning is needed. The closest alternative would be citation-chain candidate if no response were reported, but here a behavioral response is clearly measured.",1,9a1909d83cd1c9c97f51992b007a68f34f3531af70fd90b57b68fed731ad2ca2,6f12b156449d4a5f8e1487e5642dc50a6a5c6433663d2642c3d5e008d729157f
V6V-008,CWC-04A4E2BAECDE,EXCLUDE,X01_ORGANISM_OUT_OF_SCOPE,"Chaetodon butterflyfish (coral reef fish), not a coral or sponge.",Turbidity gradient from river sedimentation on a tropical coral reef.,"Foraging and movement behaviour of fish, not a coral or sponge response.",,,TITLE_ABSTRACT,HIGH,False,"The record concerns butterflyfish behaviour along a turbidity gradient, not corals or sponges. The organism is a fish, and the response is fish behaviour, so it fails the organism scope. There is no evidence of a deep-sea or cold-water coral/sponge sediment-related response, and no basis for transferable mechanism or citation-chain candidacy.",1,b5b12aeb97049379a1c97bd03c57fa8ddcc23b5d447cabb35d8950dd483d8585,84d3086bae67f92ef3e018e89efca221c471537d8ef2fe13bc319ae034c18a2f
V6V-009,CWC-3143828C5285,CORE_INCLUDE,,Cold-water octocoral Dentomuricea aff. meteor,"Suspended polymetallic sulphide (PMS) and quartz particles simulating deep-sea mining sediment plumes, at 25 mg/L nominal (achieved 2-3 mg/L PMS and 15-18 mg/L quartz)","Tissue necrosis, copper bioaccumulation, mortality of all fragments, increased respiration and ammonia excretion, cellular stress biomarkers and gene expression changes; mechanical particle effects elicited cellular stress/immune responses",,,TITLE_ABSTRACT,HIGH,False,"The abstract explicitly reports a deep-sea cold-water octocoral exposed to sediment plumes from mining activities. Measured responses include tissue condition, necrosis, copper bioaccumulation, mortality, respiration, ammonia excretion, and molecular stress responses. This directly matches core criteria (deep-sea/cold-water organism, explicit sediment exposure, measured biological responses). No alternative category is needed because the source is clearly in-scope and substantive. Confidence is high based on the detailed experimental evidence in the abstract.",1,e3c35e45a55b008768c94a1781490f849dc8b808ec652245db2d5c3d021b4791,bc24eec65ef4a0aa5fdd418b5fcec0ad619509bdba524bd1a160ed7610b2394c
V6V-010,CWC-052940936060,CITATION_CHAIN_CANDIDATE,C01_DEEP_COLD_CONTEXT_NO_RESPONSE,"Deep-sea scleractinian coral Lophelia pertusa habitats in the Gulf of Mexico; study focuses on sediment macrofauna, not corals/sponges as response organisms.","No explicit sediment stressor on corals/sponges; sediment is examined as habitat for macrofauna, with coral presence facilitating sediment accumulation but no exposure pathway to corals evaluated.","No eligible coral or sponge biological response; reported responses are macrofaunal abundance, diversity, and community composition in sediments near vs. background.",,"Substantive deep-sea Lophelia pertusa habitat study with direct sediment focus (sediment macrofauna, sediment accumulation near corals); likely to cite literature on coral-sediment interactions that could lead to in-scope sediment response studies.",TITLE_ABSTRACT,HIGH,False,"The abstract clearly describes a deep-sea Lophelia pertusa habitat study examining sediment macrofaunal community composition near coral versus background sediments. No coral or sponge response to sediment exposure is reported; the responses are for macrofauna, which is outside scope. The source is substantive and has a direct sediment focus, making it a credible citation-chain lead for finding in-scope sediment response evidence in deep-sea coral habitats. Therefore CITATION_CHAIN_CANDIDATE with C01_DEEP_COLD_CONTEXT_NO_RESPONSE is appropriate.",1,2bc21683cd6691e0ea326a563347b163a2d597acbb4d9b992f1ffaac8f5f911e,25c95fe965be5d93e97b69c47ae81fc054a1199e068b15c18e7352331458b349
V6V-011,CWC-10E90977984E,EXCLUDE,X05_RESPONSE_OUT_OF_SCOPE,"Deep-sea coral habitats are mentioned, but the entity whose response is studied is sediment macrofauna living adjacent to corals, not the corals or sponges themselves.",No sediment-related exposure or stressor on corals/sponges is described; the focus is on coral habitats influencing macrofaunal community structure.,"The measured response is sediment macrofaunal community structure and function, which does not match the required coral/sponge biological response categories.",,,TITLE_ABSTRACT,HIGH,False,"The title and partial abstract indicate a study of how deep-sea coral habitats influence sediment macrofaunal community structure and function. The organisms whose response is reported are infaunal macrofauna, not corals or sponges. There is no explicit sediment stressor affecting corals/sponges and no coral/sponge biological response. Thus it fails the response and stressor scope. It is not a strong citation-chain lead because the sediment focus is on macrofaunal community ecology around coral habitats, not on sediment impacts to corals/sponges. Therefore EXCLUDE is most appropriate.",1,d7c75c744cf509194ea13a74162410bed4ec9d4478b8ec0012be7dbdb48634c2,6c1b07697ff5db6ea6e1d43d653670176dbd65315163f5042568cb141c09b4a1
V6V-012,CWC-FA6A2B921E3D,CITATION_CHAIN_CANDIDATE,C03_STRESSOR_OR_TRAIT_LEAD,"Cold-water coral reefs and mounds in the Southwest Rockall Trough margin, NE Atlantic; sites with dense coral cover and without coral cover.",Near-bed particle deposition and resuspension; internal-wave-driven mass fluxes; sediment trap measurements of resuspended material and fresh particle supply.,"No biological response reported; the study describes physical particle baffling by coral framework affecting sediment flux, not coral health, growth, or other organism-level responses.",,Substantive deep-sea cold-water coral habitat study with direct sediment deposition/resuspension focus; likely cites or is related to literature on sediment impacts on cold-water corals.,TITLE_ABSTRACT,HIGH,False,"The record involves cold-water corals and an explicit sediment-related pathway (particle deposition/resuspension, mass fluxes) but does not report any eligible biological response (mortality, growth, physiology, etc.). Therefore it is not CORE_INCLUDE. It is a substantive deep-sea cold-water coral source with a direct sediment dynamics focus, making it a useful citation-chain lead to find response evidence. It is not a warm-water/tropical study, so not EXCLUDE. It is clearly not TRANSFERABLE_MECHANISM or UNCERTAIN. The reason code C03_STRESSOR_OR_TRAIT_LEAD fits because the sediment focus is a stressor-pathway lead rather than a review or monitoring context.",1,521531dfcf107198221221cd9b6cdc483293c88b7ce3c1ef3558d17882452ae1,71e23d63066245efba745173949dafb915a0829608ffb2a2cf78d3144d9bbbd2
V6V-013,CWC-2EB3E78A9C15,EXCLUDE,X05_RESPONSE_OUT_OF_SCOPE,"Warm-water coral reef in Amami-Oshima Island, Japan; not a deep-sea or cold-water coral or sponge.","Mentions turbid water, suspended sediment (SS), and water depth changes, but not as an explicit sediment stressor on corals.",No biological response reported; the study focuses on ocean color reproduction via a bio-optical model and reflectance correlations.,,,TITLE_ABSTRACT,HIGH,False,"The study concerns a warm-water coral reef in Japan and uses a bio-optical model to reproduce turbid ocean color, not to assess any coral or sponge biological response. The supplied text does not describe mortality, growth, physiology, feeding, or any other eligible trait response. It also lacks a deep-sea/cold-water context. Warm-water tropical studies default to EXCLUDE. The appropriate reason is the response is out of scope (X05), as there is no organism-level biological response. No transferability is warranted because the evidence does not demonstrate a close analogue to deep-sea cold-water taxa.",1,8cd7ef17c5ee05ddaa9d6209a5cad795ba7dacfa776c43dddb362065fc106a41,76ce35892498f262089e297a6bdee829176b77aea0d16045ec0f7552b54f4a34
V6V-014,CWC-E15BC38D95E5,CORE_INCLUDE,,Cold-water octocoral Dentomuricea aff. meteor.,Mining-generated sediment plumes; suspended PMS and quartz particles.,Gene expression profiles evaluating cellular stress and antioxidant reaction pathways.,,,TITLE_ABSTRACT,HIGH,False,"The title and abstract explicitly describe a cold-water octocoral (Dentomuricea aff. meteor) exposed to mining-generated sediment plumes, with measured gene expression responses. This is a direct test of an eligible biological response to an explicit sediment-related exposure, fitting the CORE_INCLUDE criteria.",1,a7c35975baa446cb5ddfe9569abdc05fd2d84221034a8cc016be2730b0e1e3df,cfd66ffe2e55b5374c589789b27793211b32a7a87840e9217505ae130e0a4887
V6V-015,CWC-C1B7BB939BE8,CORE_INCLUDE,,"Cold-water coral Desmophyllum pertusum (Lophelia pertusa), explicitly identified as a cold-water coral (CWC).","Exposure to suspended particles: bentonite (BE), barite (BA), and drill cuttings (DC) at realistic concentrations ~4 to ~60 mg/L, delivered as repeated 4-hour pulses over 5 days.","Measured physiological responses (respiration rate, growth rate, mucus POC and PON) and polyp mortality at 2 and 6 weeks post-exposure. Significant increases in mucus OC:ON for BE-exposed corals and polyp mortality at DC doses 19 and 49 mg/L; threshold ~20 mg/L identified.",,,TITLE_ABSTRACT,HIGH,False,"The record describes a cold-water coral (Desmophyllum pertusum) exposed to suspended sediment-related particles (bentonite, barite, drill cuttings). It reports measured physiological and mortality responses, including respiration, growth, mucus composition, and polyp mortality, with an identified effect threshold. This matches the core criteria for an eligible organism, explicit sediment stressor, and biological response. No supplementary reasoning is needed.",1,60adfca22c4f9e31b98ced1523eb3c371f4dbc75ee3f435be0f57c158601f2f9,5c6438201d29f94f3696f89f724b2a86c81a828af477db70bac293d479c4e097
V6V-016,CWC-DE28CCA01688,EXCLUDE,X01_ORGANISM_OUT_OF_SCOPE,"Study focuses on coralline algae (rhodoliths and coralline algal build-ups), not corals or sponges.","Mentions storm-driven redeposition and rapid burial, but these relate to algal deposits rather than coral or sponge sediment exposure.",No coral or sponge biological response to sediment is reported.,,,TITLE_ABSTRACT,HIGH,False,"The record is about coralline algal build-ups in the Arctic, not deep-sea or cold-water corals or sponges. No coral/sponge sediment-related response is described. It is therefore out of scope for core inclusion, and the lack of a coral/sponge focus means it is not a suitable citation-chain candidate.",1,d2f0b54f5b5f26fef66fc773c877ef4f2526ff904b8733ad410e730c0312eb48,cd2d65214c5e8a345a2a4aaedac58368b0ecc9c458cb60eaa0afb4de047ff066
V6V-017,CWC-FCEF2BEBFA85,CORE_INCLUDE,,"Six cold-water corals from a Mediterranean submarine canyon: Dendrophyllia cornigera, Desmophyllum dianthus, Desmophyllum pertusum, Madrepora oculata, Leiopathes glaberrima, and Muriceides lepida.","Sediment resuspension from bottom trawling, operationalized as increased suspended sediment concentration (SSC) in a long-term aquarium-based disturbance experiment.","Measured survival, growth, and physiological response; substantial polyp mortality in colonial scleractinians and black coral under enhanced SSC treatments.",,,TITLE_ABSTRACT,HIGH,False,"The abstract explicitly identifies cold-water corals, a sediment-related stressor (suspended sediment from bottom trawling), and observed organism-level responses (survival, growth, physiological response, polyp mortality). This directly matches core inclusion criteria and requires no inference or transferability reasoning.",1,8484f51fa5a71927f829d5f77784ee66da64352e3c35f9cdd136780101b069cd,4b710ac2180cdd0b3b54189bd2255fe588d511d9f7a01185ee080fba10381918
