validation_record_id,corpus_id,title,screening_text,human_decision,human_reviewer_note,model_decision,exact_agreement,model_reason_code,model_confidence,model_needs_full_text,model_rationale,final_adjudicated_category,adjudication_note
PEV-001,CWC-76DBA2881C9F,Eco-physiological responses of cold-water soft corals to anthropogenic sedimentation and particle shape,"Anthropogenic disturbances in the marine environment, such as excessive sedimentation produced by mine tailing deposition, can affect the physiology and behavior of benthic fauna. Mine tailing particles are sharper than natural occurring sediments and could therefore cause more harmful effects. Cold-water coral ecosystems are among the habitats in danger of being affected by dumping of mine tailings. Cold-water corals have very slow growth rates but the habitats they provide support high levels of species richness and functional diversity. Two soft corals, cauliflower coral (Duva florida) and red tree coral (Primnoa resedaeformis), were chosen as model organisms to study the effects of excessive mine tailing sedimentation and the effect of particle shape in a three-month long experiment. The corals were exposed to a concentration of 8 mg l(-1) of two types of sediment, rough edged mine tailings (MT) and smooth edged spherical glass beads (GB). Glass beads were mimicking natural, smooth sediment, and both sediment types had a particle size distribution of 0-63 mu m. Sedimentation effects were investigated using C-13/C-12 isotope ratio to assess food intake, time-lapse images to determine the effects on tissue and behavior, and histological samples to identify and quantify particles inside the polyps. When exposed to MT, food intake decreased significantly in D. florida and increased significantly in P. resedaeformis. Duva florida exhibited a behavioral response under MT treatment, being contracted for prolonged periods. Primnoa resedaeformis lost a significant proportion of polyps under both treatments. Histology showed mine tailing particles of sizes < 10 mu m embedded in the tissue of both species. The results suggest that sharp particles are more harmful than smooth edged particles to both species, in the size range studied. This should be considered when assessing the impacts of anthropogenic activities that increase sedimentation in benthic habitats.",CORE_INCLUDE,,CORE_INCLUDE,True,,HIGH,False,"Explicit cold-water corals, mine tailing sedimentation, and multiple physiological/behavioral responses measured experimentally.",,
PEV-002,CWC-EB4D858B73AC,Coral morphology detection in underwater imagery using YOLOv12 with CNN and transformer encoder fusion,"For monitoring marine biodiversity and observing the health of reefs, it's important to be able to accurately see coral morphology in underwater images. Present approaches for finding underwater objects still have problems because light can be absorbed, scattered, or become turbid, and coral morphologies look very similar to each other, which often results in misclassification, erratic localization, and lower accuracy. The present automated detectors, like YOLOv7 and latest newer variants, like YOLOv11, do not work well with underwater image distortions, do not reason well about global features, or are not efficient enough to be used in practical marine monitoring systems. This paper introduces an innovative method for detecting coral morphology automatically from underwater images, utilizing YOLOv12 augmented with a Convolutional Neural Network (CNN) and transformer encoder integration in real-time to mitigate these constraints. The suggested model uses the local feature extraction power of CNN and the global context modelling power of transformers to improve feature representation in intricate underwater situations. The model is more accurate and efficient because it uses the strength of YOLOv12 along with the strengths of CNN and transformer encoders to detect objects. Empirical assessments on a standard underwater dataset show that our method is better than the present models in terms of precision, recall, and mean Average Precision (mAP), while still being able to make inferences in real time. This work helps make coral reef monitoring tools better by giving them a reliable and scalable way to identify objects underwater.",EXCLUDE,,EXCLUDE,True,X03_STRESSOR_OUT_OF_SCOPE,HIGH,False,"The study focuses on computer vision for coral detection, not on sediment effects. Turbidity is only an image quality issue, not an explicit sediment stressor. No eligible biological response to sediment is assessed.",,
PEV-003,CWC-D9FA66DE2FA6,Environmental Atrocities in the South China Sea: The Science Behind Conservation Recourse,"Extensive damage to reefs and exploitation of threatened species of the South China Sea raise questions regarding national obligations under international treaties. An historic test of these obligations under the United Nations Convention on the Law of the Sea (UNCLOS) was presented by the Philippine government before the Permanent Court of Arbitration at the International Court of Justice at the Peace Palace in Den Hague in November 2015. High resolution satellite imagery and on-site photographs, videos, and eye witness accounts provide ample evidence of unparalleled direct environmental damage to highly productive and biodiverse coral reefs of the South China Sea. Experts witness testimony indicated that this damage is a result of extensive island building on reef flats and sedimentation from dredging activities. Scientific evidence also indicates that this damage to coral reefs is likely to influence reef productivity throughout the region, including in adjacent Exclusive Economic Zones. Additional evidence of unrestrained exploitation targeting giant clams, corals, and reef fishes was presented that are indicative of irresponsible fishing practices and pose additional threats to endangered species. The decision of the Tribunal of the Permanent Court of Arbitration was handed down in July 2016 that upheld the claims of the Philippines government and has far-reaching policy implications for environmental actions in international waters. An evaluation of the ruling of the tribunal shows that nearly all points presented under UNCLOS were merited, with the possible exception of claims of connectivity of reefs of the South China Seas with adjacent Exclusive Economic Zones. Further research is needed to provide evidence for this claim.",EXCLUDE,,TRANSFERABLE_MECHANISM,False,,MEDIUM,False,"Tropical coral reef damage from dredging sedimentation is explicit, but no cold-water context; transferable mechanism for sediment impacts on corals.",,
PEV-004,CWC-C69AD807E3BA,Tolerance to long-term exposure of suspended benthic sediments and drill cuttings in the cold-water coral Lophelia pertusa,"The cold-water coral Lophelia pertusa was exposed to suspended particles (<63 mu m) for 12 weeks. Skeletal growth was significantly lower under exposure concentrations of similar to 25 mg l(-1) than similar to 5 mg l(-1) and there was a trend of lower growth rates when exposed to water-based drill cuttings than to natural benthic sediment. Polyp extension was less in corals exposed to higher material concentrations, which provides a possible explanation for observed skeletal growth differences between particle concentrations. Particle exposure had no significant impact on respiration or proportions of tissue and fatty acids in corals. The volume of additional cleaning mucus released by exposed corals was low and release did not significantly affect coral energy expenditure. Our results indicate that L. pertusa polyps can deal comparatively well with enhanced particle deposition rates and suspended matter concentrations. However, a small pilot experiment indicated that coral larvae might be particularly vulnerable to high particle concentrations. (c) 2013 Elsevier Ltd. All rights reserved.",CORE_INCLUDE,,CORE_INCLUDE,True,,HIGH,False,"Explicit cold-water coral, sediment and drill cuttings exposure, and multiple eligible responses (growth, behavior, physiology) are reported. Core evidence.",,
PEV-005,CWC-66237F4DDA16,Rapid respiratory responses of the deep-water sponge Geodia barretti exposed to suspended sediments,"Sponges often dominate deep-water benthic faunal communities and can comprise up to 90% of the benthic biomass. Due to the large amount of water that they filter daily, sponges are an important link between benthic and pelagic ecosystems. Across the Tromso-flaket, Barents Sea, Norway, there are high biomasses of deep-water sponges. This area is also an important fishing ground, with fishing activity in some areas >27000 trawl hours yr(-1). Bottom trawling suspends large quantities of sediment into the water column, with measured concentrations up to 500 mg l(-1). This is the first study on the effects of suspended sediment exposure on deep-water sponges. In a laboratory experiment, Geodia barretti (Bowerbank 1858) (Class: Demospongiae) was exposed to 5 different sediment concentrations (0, 10, 50, 100 and 500 mg l(-1)). Respiration rates were measured before, during and after the exposure period. The results demonstrate that G. barretti physiologically shuts down when exposed to concentrations of 100 mg l(-1) (86% reduction in respiration), with thresholds of responses occurring between 10 to 50 mg l(-1). However, rapid recovery to initial respiration levels directly after the exposure indicates that G. barretti can cope with a single short exposure to elevated sediment concentrations. Given the high bottom-trawling frequency in Tromso-flaket, sponges may be frequently exposed to suspended sediments. Therefore, it is important that further investigations on the effects of suspended sediments on filter feeding organisms focus on the effects of repeated and long-term suspended sediment exposures to evaluate the overall ecological impacts.",CORE_INCLUDE,,CORE_INCLUDE,True,,HIGH,False,"Explicit deep-water sponge, suspended sediment exposure, and respiratory response with thresholds and recovery. Core evidence for sediment effects on cold-water sponges.",,
PEV-006,CWC-6A83F026EEB4,Suspended sediment grain size and mineralogy across the continental shelf of the Great Barrier Reef: Impacts on the physiology of a coral reef sponge,"Declining water quality associated with increased suspended sediments has been closely linked to the reduced health status of benthic marine ecosystems and their associated organisms, including marine sponges. The mechanisms driving the impacts of elevated suspended sediments on marine sponges are poorly investigated. This study elucidates spatial and temporal variations in sediment size and mineralogy of inorganic suspended sediments within sponge habitats (reef environments) across the continental shelf of the central Great Barrier Reef (GBR), North-eastern Australia. Inshore sponge habitats were dominated ( > 80%) by fine-grained suspended sediments consisting of both terrigenous (clay and quartz) and biogenic material (carbonates) with grain sizes < 100 mu m. In contrast, mid- and outer-shelf sponge habitats were dominated by carbonate material with grain sizes > 100 mu m. The abundance and distribution of the common coral reef sponge Rhopaloeides odorabile across the GBR shelf shows a clear correlation between habitat and the distinct patterns in suspended sediment size and mineralogy. Experimental exposure of R. odorabile to clay and carbonate sediments in this study provides the first evidence that the metabolic demand (respiration) of coral reef sponges increases (up to 40%) in response to fine terrigenous (clay) sediments. This physiological response supports sediment load, size, and mineralogy as key factors affecting the distribution and abundance patterns of R. odorabile across the continental shelf of the central GBR. (C) 2011 Elsevier Ltd. All rights reserved.",EXCLUDE,,TRANSFERABLE_MECHANISM,False,,HIGH,False,"Tropical sponge study with explicit suspended sediment exposure and measured respiratory response, providing transferable physiological mechanism for sediment effects on sponges.",,
PEV-007,CWC-908DE8E1A7FD,"Barite and barium in sediments and coral skeletons around the hydrocarbon exploration drilling site in the Træna Deep, Norwegian Sea","Barite and barium concentrations in bottom sediments and coral skeletons from the vicinity of the hydrocarbon exploration well drilled in 1992-1993 in the Traena Deep, Norwegian Sea have been studied to assess the spreading of the drilling mud and related ecological effects on Lophelia petrusa coral reefs. Sand size barite crystals derived from the drilling mud and elevated Ba concentrations in surface (0-2 cm) sediments were found up to 4 km from the exploration drilling site. Pb-210-dating results on sediment cores indicate that Ba-rich surface intervals (0-2 cm) record ca. 20 years of sedimentation history, and connect Ba enrichment with exploration drilling. The geographic distribution of Ba contents in sediments allowed the reconstruction of the drilling mud dispersal pattern showing transport eastward from the drilling site, consistent with the prevailing current directions. The presence of relatively coarse-grained sediments and barite crystals trapped in coral polyps, ca. 500 m down current from the drilling site, reflects the elevated turbulence and sediment supply during the drilling activity. This elevated sediment dispersion likely placed a stress upon the coral reefs, but due to strong currents that effectively dilute episodic drilling waste and sediment discharges, the damage does not appear significant.",CORE_INCLUDE,,CORE_INCLUDE,True,,HIGH,False,"Explicit cold-water coral (Lophelia pertusa) with drilling mud/sediment exposure and assessment of ecological effects, including stress and polyp trapping, meeting core criteria.",,
PEV-008,CWC-D97220223ADA,"Effects of terrestrial runoff on the coral communities in Santiago Bay, Colima, Mexican Pacific Coast","Coral reef ecosystems are under stress of different origins, from factors including sedimentation, fragmentation, overfishing, and tourism, depending on their geographical location, depth, and proximity to recreation areas. In this study of Juluapan Lagoon, we examined the relationship between various water-quality attributes and the status indicators of the coral community at La Boquita reef. During 2011 (12 months of sampling), six monitoring stations in the Juluapan lagoon were established in order to observe the gradient of the distribution of the physicochemical parameters: three stations on the upper part, or BI, (S4 to S6) and three more in the lower part, or BII, (S1 to S3). A control station (CS) was located in the coral reef close to the lagoon channel, and where dissolved inorganic nutrients and cellular carbon content were determined. Additionally, we considered the monitoring of three of the eight largest coral structures/headlands of this community: the first was the station closest to the channel communicating with Juluapan lagoon (C1), the second was in the intermediate region with respect to that lagoon (C2), and the third was farthest from the channel (C3). Three line intercept transects (LIT) 30 m in length and perpendicular to the coast provenance were established in each station, and the parameters indicative of the status of corals were evaluated in an area of 60 m(2) on each transect (180 m(2) by the station). Turbidity, evidence of fishing, signs of settling, algal coverage, abundance of fish, rate of sediment, and coral health records (as for CoralWach chart) were determined in situ and from digital photographs and videos. Considering various community status indicators used in the reef area, we could recognize a state of general deterioration, which was reflected in the loss of 17 % of coral coverage. The main anthropogenic disturbances in adjacent areas to La Boquita reef included wastewater discharges into the lagoon, tourist developments in the coastal zone, deforestation and erosion resulting from inappropriate development, and the runoff of nutrients from agricultural lands nearby the lagoon. All these significantly contributed to the nutrient-enriched waters of the lagoon, especially in summer, with negative effects on the coral community. Continued exposure to these factors, coupled with the lack of control over other anthropogenic components, has promoted the maintenance of a chronic stress state in the studied coral community. Our findings highlight the need for the development of appropriate coastal management and conservation policies for the coral reefs of the Mexican Pacific Coast.",EXCLUDE,,EXCLUDE,True,X02_TROPICAL_NO_TRANSFER,HIGH,False,Tropical coral study; no explicit sediment-specific response or mechanism beyond general stress; no transferable pattern.,,
PEV-009,CWC-1E8A06594C30,Appearance matters: sedimentation effects on different sponge morphologies,"Dredging activity poses an environmental risk to sponges as sediments from the dredge or disposal site may smother the sponge surface, potentially affecting water filtration and light penetration. Dredge-related sedimentation effects may also vary between sponge morphologies, potentially impacting community structure and functioning. To test this, 10 sponge species encompassing four different morphologies (massive, erect, cup and encrusting), were exposed to a single pulse treatment of three different sediment concentrations (0, 250 and 500 mg l(-1)) and followed over 2 weeks, in 1000 l tanks. Total suspended solids (TSS) and sedimentation rates (SR) were recorded throughout the study. A sharp decrease in TSS was recorded within the first 2-3 h and a total settlement of sediments occurred within the first 48 h of the pulse exposure (0, 8 and 16 mg cm (-2) in the control, medium and high sediment treatments, respectively). The effects of high sedimentation included mortality of cupshaped Callyspongia confoederata and small areas of tissue necrosis in other species, with massive, encrusting and wide cup morphologies particularly affected. However, the sediment concentrations tested in this experiment did not cause changes in the concentration of sponge pigments or the structure of the symbiotic microbial community in any species. These results indicate that a single pulse of sediments less than 16 mg cm (-2) is not detrimental to most of the sponge species studied.",TRANSFERABLE_MECHANISM,,TRANSFERABLE_MECHANISM,True,,HIGH,False,"Sponge study with explicit dredging-related sediment exposure and responses (mortality, necrosis). Not core because setting not specified as cold/deep/temperate; transferable mechanism for sediment effects on sponge morphology.",,
PEV-010,CWC-EB1347CE427C,"Palaeoecological and sedimentological characteristics of the Lower Tortonian scleractinian reef corals of Gavdos Island, southern Greece",,EXCLUDE,,EXCLUDE,True,X01_ORGANISM_OUT_OF_SCOPE,HIGH,False,"Title indicates palaeoecological and sedimentological study of fossil reef corals; no explicit sediment stressor or biological response, and fossil context is out of scope.",,
